dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.005,0.3,0.054,0.027,33,12
2022042102,0.004,0.3,0.059,0.021,45,18
2022042103,0.004,0.3,0.054,0.022,38,11
2022042104,0.003,0.3,0.040,0.028,37,13
2022042105,0.003,0.3,0.044,0.022,28,10
2022042106,0.003,0.3,0.042,0.023,23,10
2022042107,0.003,0.3,0.043,0.026,29,12
2022042108,0.003,0.3,0.040,0.031,24,12
2022042109,0.004,0.3,0.035,0.038,27,8
2022042110,0.003,0.3,0.039,0.034,32,13
2022042111,0.003,0.3,0.044,0.028,30,12
2022042112,0.003,0.3,0.044,0.029,23,10
2022042113,0.003,0.3,0.042,0.030,20,9
2022042114,0.002,0.3,0.046,0.019,29,8
2022042115,0.002,0.3,0.046,0.013,15,9
2022042116,0.002,0.3,0.047,0.019,22,10
2022042117,0.002,0.3,0.040,0.023,20,8
2022042118,0.002,0.3,0.039,0.024,22,13
2022042119,0.002,0.3,0.034,0.023,19,10
2022042120,0.002,0.3,0.025,0.037,17,13
2022042121,0.002,0.3,0.021,0.032,25,12
2022042122,0.002,0.3,0.029,0.024,29,17
2022042123,0.002,0.3,0.020,0.030,28,18
2022042124,0.002,0.3,0.008,0.041,33,17
2022042201,0.002,0.3,0.006,0.040,32,18
2022042202,0.002,0.3,0.021,0.023,29,14
2022042203,0.002,0.3,0.028,0.020,29,17
2022042204,0.002,0.3,0.028,0.019,20,17
2022042205,0.002,0.3,0.030,0.021,18,11
2022042206,0.002,0.3,0.040,0.016,22,13
2022042207,0.003,0.3,0.033,0.023,22,13
2022042208,0.003,0.3,0.027,0.029,18,11
2022042209,0.004,0.3,0.037,0.023,23,12
2022042210,0.003,0.3,0.039,0.018,24,12
2022042211,0.003,0.3,0.054,0.012,23,15
2022042212,0.003,0.3,0.055,0.015,22,12
2022042213,0.003,0.2,0.067,0.007,27,11
2022042214,0.003,0.2,0.069,0.008,24,7
2022042215,0.002,0.2,0.071,0.005,38,11
2022042216,0.002,0.2,0.072,0.008,35,9
