dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.057,0.013,63,28
2022040818,0.003,0.2,0.058,0.007,72,30
2022040819,0.002,0.2,0.055,0.009,38,13
2022040820,0.002,0.3,0.051,0.012,40,14
2022040821,0.002,0.3,0.049,0.013,39,13
2022040822,0.002,0.3,0.046,0.015,40,19
2022040823,0.002,0.2,0.053,0.009,40,18
2022040824,0.003,0.3,0.053,0.008,37,18
2022040901,0.002,0.3,0.052,0.009,38,14
2022040902,0.003,0.3,0.029,0.021,39,16
2022040903,0.003,0.3,0.021,0.022,46,16
2022040904,0.003,0.4,0.014,0.027,47,22
2022040905,0.004,0.4,0.012,0.032,52,30
2022040906,0.004,0.3,0.030,0.023,51,29
2022040907,0.005,0.4,0.017,0.034,61,34
2022040908,0.005,0.3,0.012,0.038,71,29
2022040909,0.004,0.3,0.025,0.028,68,28
2022040910,0.003,0.2,0.047,0.012,66,27
2022040911,0.004,0.2,0.048,0.010,48,17
2022040912,0.003,0.2,0.051,0.008,36,17
2022040913,0.003,0.2,0.059,0.007,33,18
2022040914,0.003,0.2,0.057,0.008,50,15
2022040915,0.003,0.2,0.056,0.007,48,18
2022040916,0.003,0.2,0.055,0.006,40,15
2022040917,0.003,0.2,0.052,0.006,32,12
2022040918,0.002,0.2,0.052,0.006,27,11
2022040919,0.002,0.2,0.046,0.010,25,11
2022040920,0.002,0.2,0.041,0.015,27,10
2022040921,0.002,0.2,0.045,0.011,30,8
2022040922,0.002,0.2,0.046,0.011,28,8
2022040923,0.002,0.2,0.044,0.014,26,11
2022040924,0.002,0.2,0.044,0.011,32,12
2022041001,0.002,0.2,0.048,0.007,27,10
2022041002,0.002,0.2,0.048,0.006,26,12
2022041003,0.002,0.2,0.049,0.006,22,12
2022041004,0.002,0.2,0.048,0.006,23,9
2022041005,0.002,0.2,0.039,0.015,20,11
2022041006,0.002,0.3,0.039,0.014,28,16
2022041007,0.002,0.2,0.041,0.013,27,19
2022041008,0.003,0.2,0.042,0.012,28,14
2022041009,0.003,0.2,0.045,0.009,33,11
2022041010,0.003,0.2,0.049,0.006,25,12
2022041011,0.003,0.2,0.051,0.006,28,16
2022041012,0.003,0.2,0.053,0.006,28,8
2022041013,0.003,0.2,0.054,0.004,29,12
2022041014,0.004,0.2,0.054,0.005,26,9
2022041015,0.003,0.2,0.053,0.005,29,21
2022041016,0.003,0.2,0.052,0.005,29,15
2022041017,0.003,0.2,0.051,0.004,30,20
2022041018,0.003,0.2,0.050,0.004,32,22
2022041019,0.003,0.2,0.049,0.004,30,23
2022041020,0.002,0.2,0.048,0.004,27,18
2022041021,0.002,0.2,0.047,0.006,27,17
2022041022,0.002,0.2,0.038,0.012,28,20
2022041023,0.002,0.2,0.037,0.013,34,22
2022041024,0.002,0.2,0.035,0.014,31,25
2022041101,0.002,0.2,0.031,0.014,44,21
2022041102,0.002,0.3,0.028,0.010,38,27
2022041103,0.002,0.3,0.025,0.011,31,19
2022041104,0.002,0.2,0.020,0.015,30,23
2022041105,0.002,0.2,0.019,0.016,29,20
2022041106,0.002,0.3,0.015,0.021,34,24
2022041107,0.002,0.3,0.006,0.031,32,22
2022041108,0.004,0.4,0.004,0.031,37,21
2022041109,0.004,0.4,0.005,0.036,70,36
2022041110,0.004,0.3,0.019,0.024,71,32
2022041111,0.004,0.2,0.028,0.015,54,26
2022041112,0.004,0.2,0.032,0.013,47,22
2022041113,0.004,0.2,0.035,0.012,47,25
2022041114,0.003,0.2,0.038,0.008,53,24
2022041115,0.003,0.2,0.033,0.014,37,20
2022041116,0.004,0.2,0.035,0.011,42,27
2022041117,0.004,0.3,0.034,0.012,39,25
2022041118,0.004,0.3,0.033,0.014,52,30
2022041119,0.004,0.3,0.032,0.014,42,24
2022041120,0.004,0.3,0.023,0.019,46,28
2022041121,0.005,0.3,0.018,0.020,43,26
2022041122,0.002,0.3,0.013,0.026,43,26
2022041123,0.002,0.3,0.005,0.024,42,29
2022041124,0.002,0.3,0.013,0.026,32,22
2022041201,0.002,0.2,0.020,0.018,28,20
2022041202,0.002,0.2,0.027,0.009,25,15
2022041203,0.002,0.2,0.021,0.015,14,10
2022041204,0.002,0.2,0.017,0.015,19,14
2022041205,0.003,0.3,0.003,0.028,23,11
2022041206,0.002,0.2,0.004,0.027,36,20
2022041207,0.003,0.3,0.003,0.028,40,23
2022041208,0.002,0.3,0.010,0.020,45,25
2022041209,0.003,0.3,0.015,0.018,32,13
2022041210,0.003,0.3,0.024,0.010,43,20
2022041211,0.003,0.2,0.030,0.009,33,14
2022041212,0.004,0.2,0.031,0.009,40,15
2022041213,0.003,0.2,0.035,0.009,31,14
2022041214,0.003,0.2,0.040,0.008,36,15
2022041215,0.004,0.2,0.039,0.010,57,17
2022041216,0.004,0.3,0.036,0.011,54,22
2022041217,0.004,0.3,0.035,0.010,44,22
2022041218,0.002,0.3,0.035,0.010,50,19
2022041219,0.002,0.3,0.033,0.007,35,18
2022041220,0.002,0.2,0.029,0.011,23,12
2022041221,0.002,0.2,0.026,0.012,26,14
2022041222,0.002,0.2,0.024,0.011,22,15
2022041223,0.002,0.2,0.028,0.009,25,12
2022041224,0.002,0.2,0.032,0.007,18,18
2022041301,0.002,0.2,0.028,0.008,22,14
2022041302,0.002,0.2,0.035,0.007,19,15
2022041303,0.002,0.2,0.041,0.005,25,20
2022041304,0.002,0.2,0.042,0.005,35,20
2022041305,0.002,0.2,0.042,0.005,38,16
2022041306,0.002,0.2,0.038,0.008,35,21
2022041307,0.003,0.3,0.031,0.013,30,20
2022041308,0.004,0.3,0.029,0.016,30,23
2022041309,0.003,0.3,0.023,0.018,34,30
2022041310,0.003,0.3,0.022,0.018,29,23
2022041311,0.002,0.3,0.024,0.015,41,24
2022041312,0.002,0.3,0.024,0.013,19,12
2022041313,0.002,0.2,0.028,0.010,17,10
2022041314,0.002,0.2,0.033,0.009,15,10
2022041315,0.002,0.2,0.034,0.010,21,13
2022041316,0.002,0.2,0.032,0.012,31,14
2022041317,0.002,0.2,0.033,0.010,28,9
2022041318,0.002,0.2,0.029,0.012,21,8
2022041319,0.001,0.2,0.029,0.011,19,6
2022041320,0.001,0.2,0.030,0.009,11,6
2022041321,0.001,0.2,0.030,0.008,9,3
2022041322,0.001,0.2,0.032,0.008,8,4
2022041323,0.001,0.2,0.034,0.006,7,4
2022041324,0.001,0.2,0.037,0.004,13,5
2022041401,0.001,0.2,0.038,0.003,9,6
2022041402,0.001,0.2,0.038,0.003,9,7
2022041403,0.001,0.2,0.036,0.003,15,7
2022041404,0.002,0.2,0.036,0.003,14,6
2022041405,0.002,0.2,0.036,0.004,15,4
2022041406,0.002,0.2,0.034,0.006,14,4
2022041407,0.002,0.2,0.029,0.011,15,5
2022041408,0.002,0.2,0.027,0.012,12,10
2022041409,0.002,0.2,0.023,0.016,15,10
2022041410,0.002,0.2,0.022,0.017,17,8
2022041411,0.002,0.2,0.022,0.016,18,6
2022041412,0.002,0.2,0.026,0.012,17,4
2022041413,0.002,0.2,0.027,0.012,11,5
2022041414,0.002,0.2,0.029,0.011,7,6
2022041415,,,,,11,6
2022041416,,,,,,
2022041417,0.002,0.2,0.031,0.009,,
2022041418,0.001,0.3,0.026,0.014,13,5
2022041419,0.001,0.3,0.030,0.011,25,10
2022041420,0.001,0.2,0.032,0.009,15,6
2022041421,0.001,0.2,0.035,0.006,12,10
2022041422,0.001,0.2,0.037,0.005,19,7
2022041423,0.001,0.2,0.038,0.005,17,7
2022041424,0.001,0.2,0.039,0.005,13,11
2022041501,0.001,0.2,0.036,0.006,21,9
2022041502,0.001,0.2,0.036,0.005,21,9
2022041503,0.001,0.3,0.034,0.006,22,10
2022041504,0.001,0.2,0.037,0.004,19,7
2022041505,0.001,0.2,0.039,0.004,18,8
2022041506,0.001,0.2,0.037,0.005,17,10
2022041507,0.001,0.2,0.032,0.009,18,14
2022041508,0.002,0.3,0.024,0.016,22,10
2022041509,0.002,0.3,0.028,0.013,31,10
2022041510,0.002,0.2,0.032,0.011,29,12
2022041511,0.002,0.2,0.034,0.011,25,13
2022041512,0.003,0.2,0.037,0.010,31,11
2022041513,0.003,0.3,0.041,0.009,33,16
2022041514,0.003,0.2,0.043,0.008,24,12
2022041515,0.003,0.2,0.042,0.010,26,13
2022041516,0.003,0.2,0.043,0.009,35,11
2022041517,0.004,0.2,0.042,0.010,34,16
2022041518,0.004,0.2,0.040,0.010,33,10
2022041519,0.004,0.2,0.037,0.012,41,9
2022041520,0.004,0.2,0.033,0.014,28,11
2022041521,0.002,0.2,0.036,0.010,21,11
2022041522,0.001,0.2,0.040,0.007,15,10
2022041523,0.001,0.2,0.041,0.005,14,11
2022041524,0.001,0.2,0.042,0.005,11,8
2022041601,0.001,0.2,0.043,0.004,17,12
2022041602,0.002,0.2,0.040,0.006,19,12
2022041603,0.002,0.3,0.039,0.006,21,7
2022041604,0.002,0.3,0.039,0.006,17,6
2022041605,0.002,0.2,0.040,0.006,10,6
2022041606,0.001,0.2,0.031,0.013,19,7
2022041607,0.002,0.2,0.028,0.017,14,7
2022041608,0.002,0.2,0.033,0.013,14,8
2022041609,0.002,0.2,0.034,0.012,16,10
2022041610,0.002,0.2,0.039,0.009,23,8
2022041611,0.003,0.2,0.043,0.007,19,11
2022041612,0.004,0.2,0.046,0.008,25,10
2022041613,0.003,0.2,0.049,0.009,21,12
2022041614,0.003,0.2,0.049,0.009,23,12
2022041615,0.003,0.2,0.050,0.007,27,12
2022041616,0.003,0.2,0.052,0.007,27,9
2022041617,0.003,0.2,0.052,0.008,20,10
2022041618,0.002,0.2,0.050,0.008,22,13
2022041619,0.002,0.2,0.048,0.007,19,12
2022041620,0.002,0.2,0.043,0.011,20,14
2022041621,0.002,0.2,0.044,0.009,16,10
2022041622,0.002,0.2,0.042,0.011,19,10
2022041623,0.002,0.2,0.046,0.012,25,10
2022041624,0.002,0.2,0.037,0.019,23,16
2022041701,0.002,0.2,0.038,0.013,22,14
2022041702,0.001,0.3,0.026,0.015,26,12
2022041703,0.002,0.3,0.025,0.014,22,16
2022041704,0.002,0.3,0.022,0.014,22,14
2022041705,0.002,0.3,0.023,0.013,22,15
2022041706,0.002,0.3,0.024,0.013,26,17
2022041707,0.002,0.3,0.016,0.019,22,17
2022041708,0.003,0.3,0.019,0.019,26,17
2022041709,0.002,0.3,0.035,0.012,27,17
2022041710,0.003,0.2,0.044,0.008,32,22
2022041711,0.003,0.2,0.054,0.005,33,16
2022041712,0.002,0.2,0.053,0.004,28,13
2022041713,0.003,0.2,0.053,0.005,23,9
2022041714,0.003,0.2,0.055,0.006,25,7
2022041715,0.003,0.2,0.059,0.005,28,8
2022041716,0.002,0.2,0.061,0.005,33,13
2022041717,0.002,0.2,0.065,0.005,28,9
2022041718,0.002,0.2,0.069,0.006,34,13
2022041719,0.002,0.3,0.069,0.007,37,14
2022041720,0.002,0.3,0.062,0.010,24,13
2022041721,0.002,0.3,0.061,0.011,28,14
2022041722,0.002,0.3,0.061,0.008,26,15
2022041723,0.002,0.2,0.059,0.008,29,15
2022041724,0.002,0.3,0.043,0.016,27,18
2022041801,0.002,0.3,0.026,0.025,29,15
2022041802,0.002,0.3,0.033,0.017,27,20
2022041803,0.002,0.3,0.025,0.021,26,20
2022041804,0.002,0.3,0.028,0.018,24,22
2022041805,0.002,0.3,0.015,0.034,25,15
2022041806,0.002,0.3,0.004,0.040,74,27
2022041807,0.002,0.4,0.006,0.042,46,23
2022041808,0.004,0.3,0.012,0.038,60,35
2022041809,0.003,0.3,0.021,0.034,59,29
2022041810,0.004,0.3,0.032,0.027,51,25
2022041811,0.004,0.3,0.049,0.019,62,30
2022041812,0.004,0.3,0.061,0.012,71,31
2022041813,0.003,0.3,0.065,0.010,55,24
2022041814,,,,,67,23
2022041815,,,,,77,28
2022041816,0.003,0.3,0.059,0.016,75,29
2022041817,0.003,0.3,0.060,0.016,49,23
2022041818,0.002,0.3,0.056,0.019,48,17
2022041819,0.002,0.3,0.051,0.024,46,21
2022041820,0.002,0.3,0.034,0.035,41,17
2022041821,0.002,0.3,0.039,0.024,44,26
2022041822,0.002,0.3,0.039,0.022,37,23
2022041823,0.002,0.3,0.030,0.030,38,24
2022041824,0.002,0.4,0.004,0.053,36,18
2022041901,0.002,0.3,0.021,0.031,50,31
2022041902,0.002,0.3,0.025,0.024,43,30
2022041903,0.002,0.3,0.015,0.033,48,27
2022041904,0.003,0.4,0.007,0.038,45,29
2022041905,0.002,0.3,0.027,0.022,56,35
2022041906,0.002,0.3,0.025,0.024,41,28
2022041907,0.002,0.3,0.013,0.038,37,24
2022041908,0.003,0.3,0.018,0.036,48,30
2022041909,0.003,0.3,0.020,0.035,57,32
2022041910,0.004,0.3,0.031,0.026,50,29
2022041911,0.003,0.3,0.036,0.026,59,26
2022041912,0.003,0.3,0.046,0.019,55,28
2022041913,0.003,0.3,0.049,0.020,45,18
2022041914,0.003,0.3,0.058,0.016,49,20
2022041915,0.004,0.3,0.068,0.017,45,20
2022041916,0.003,0.3,0.062,0.015,48,24
2022041917,0.002,0.3,0.056,0.013,42,18
2022041918,0.002,0.2,0.056,0.015,38,12
2022041919,0.002,0.2,0.059,0.014,31,12
2022041920,0.002,0.3,0.051,0.019,34,17
2022041921,,0.3,0.032,0.033,34,22
2022041922,0.006,0.3,0.033,0.030,36,24
2022041923,0.008,0.2,0.046,0.014,33,20
2022041924,0.003,0.3,0.030,0.032,28,15
2022042001,0.002,0.3,0.008,0.047,39,22
2022042002,0.002,0.3,0.021,0.027,44,33
2022042003,0.002,0.3,0.033,0.015,29,26
2022042004,0.003,0.3,0.006,0.038,27,16
2022042005,0.002,0.3,0.003,0.040,39,27
2022042006,0.005,0.4,0.007,0.037,45,25
2022042007,0.004,0.4,0.003,0.036,81,36
2022042008,0.004,0.4,0.005,0.039,92,46
2022042009,0.004,0.4,0.009,0.041,75,34
2022042010,0.003,0.3,0.027,0.033,61,29
2022042011,0.003,0.3,0.040,0.023,44,26
2022042012,0.004,0.3,0.054,0.015,46,24
2022042013,0.004,0.3,0.057,0.015,52,22
2022042014,0.003,0.2,0.059,0.013,79,19
2022042015,0.004,0.3,0.064,0.013,62,25
2022042016,0.005,0.3,0.070,0.013,71,20
2022042017,0.004,0.3,0.079,0.011,73,25
2022042018,0.004,0.3,0.081,0.010,65,24
2022042019,0.002,0.2,0.078,0.009,50,21
2022042020,0.002,0.2,0.074,0.008,44,22
2022042021,0.003,0.2,0.073,0.008,37,24
2022042022,0.005,0.3,0.067,0.013,45,21
2022042023,0.003,0.3,0.049,0.021,48,28
2022042024,0.002,0.3,0.047,0.020,50,29
2022042101,0.002,0.3,0.055,0.011,35,21
2022042102,0.002,0.2,0.060,0.007,33,19
2022042103,0.002,0.2,0.062,0.007,39,17
2022042104,0.002,0.3,0.042,0.017,26,19
2022042105,0.003,0.3,0.022,0.031,36,24
2022042106,0.004,0.3,0.014,0.038,37,26
2022042107,0.003,0.3,0.005,0.050,82,34
2022042108,0.005,0.4,0.004,0.050,62,31
2022042109,0.005,0.4,0.011,0.051,76,35
2022042110,0.003,0.3,0.045,0.021,93,50
2022042111,0.003,0.3,0.041,0.025,68,18
2022042112,0.003,0.3,0.052,0.014,69,30
2022042113,0.003,0.3,0.057,0.011,37,18
2022042114,0.002,0.3,0.045,0.022,47,16
2022042115,0.003,0.3,0.032,0.033,47,23
2022042116,0.002,0.3,0.029,0.034,41,21
2022042117,0.003,0.3,0.033,0.025,43,28
2022042118,0.003,0.3,0.033,0.026,37,24
2022042119,0.002,0.3,0.032,0.023,26,25
2022042120,0.002,0.3,0.019,0.030,28,24
2022042121,0.002,0.4,0.009,0.029,36,24
2022042122,0.002,0.4,0.007,0.029,41,30
2022042123,0.002,0.3,0.010,0.027,40,28
2022042124,0.002,0.3,0.011,0.023,29,15
2022042201,0.002,0.3,0.009,0.026,26,20
2022042202,0.002,0.3,0.004,0.030,33,27
2022042203,0.002,0.3,0.004,0.025,39,26
2022042204,0.002,0.3,0.003,0.023,24,
2022042205,0.002,0.3,0.003,0.021,34,29
