dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.002,0.3,0.055,0.011,35,21
2022042102,0.002,0.2,0.060,0.007,33,19
2022042103,0.002,0.2,0.062,0.007,39,17
2022042104,0.002,0.3,0.042,0.017,26,19
2022042105,0.003,0.3,0.022,0.031,36,24
2022042106,0.004,0.3,0.014,0.038,37,26
2022042107,0.003,0.3,0.005,0.050,82,34
2022042108,0.005,0.4,0.004,0.050,62,31
2022042109,0.005,0.4,0.011,0.051,76,35
2022042110,0.003,0.3,0.045,0.021,93,50
2022042111,0.003,0.3,0.041,0.025,68,18
2022042112,0.003,0.3,0.052,0.014,69,30
2022042113,0.003,0.3,0.057,0.011,37,18
2022042114,0.002,0.3,0.045,0.022,47,16
2022042115,0.003,0.3,0.032,0.033,47,23
2022042116,0.002,0.3,0.029,0.034,41,21
2022042117,0.003,0.3,0.033,0.025,43,28
2022042118,0.003,0.3,0.033,0.026,37,24
2022042119,0.002,0.3,0.032,0.023,26,25
2022042120,0.002,0.3,0.019,0.030,28,24
2022042121,0.002,0.4,0.009,0.029,36,24
2022042122,0.002,0.4,0.007,0.029,41,30
2022042123,0.002,0.3,0.010,0.027,40,28
2022042124,0.002,0.3,0.011,0.023,29,15
2022042201,0.002,0.3,0.009,0.026,26,20
2022042202,0.002,0.3,0.004,0.030,33,27
2022042203,0.002,0.3,0.004,0.025,39,26
2022042204,0.002,0.3,0.003,0.023,24,
2022042205,0.002,0.3,0.003,0.021,34,29
2022042206,0.002,0.3,0.003,0.022,28,17
2022042207,0.002,0.3,0.003,0.022,40,27
2022042208,0.003,0.4,0.004,0.024,47,37
2022042209,0.004,0.4,0.006,0.025,51,40
2022042210,0.004,0.3,0.036,0.018,70,40
2022042211,0.003,0.3,0.048,0.012,53,23
2022042212,0.004,0.3,0.053,0.011,55,17
2022042213,0.004,0.3,0.058,0.008,54,23
2022042214,0.004,0.3,0.063,0.008,60,20
2022042215,0.004,0.3,0.060,0.009,76,22
2022042216,0.003,0.3,0.064,0.008,75,22
