dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,,,0.058,0.017,,
2022040818,,,0.050,0.019,51,20
2022040819,,,0.051,0.018,39,12
2022040820,,,0.047,0.022,39,14
2022040821,,,0.047,0.021,44,18
2022040822,,,0.050,0.016,48,17
2022040823,,,0.045,0.019,42,11
2022040824,,,0.042,0.018,37,14
2022040901,,,0.041,0.016,31,10
2022040902,,,0.036,0.017,34,9
2022040903,,,0.034,0.015,32,11
2022040904,,,0.025,0.023,34,20
2022040905,,,0.022,0.022,34,14
2022040906,,,0.011,0.038,31,17
2022040907,,,0.003,0.048,32,17
2022040908,,,0.014,0.037,44,17
2022040909,,,0.022,0.036,37,19
2022040910,,,0.031,0.036,49,22
2022040911,,,0.048,0.020,48,18
2022040912,,,0.051,0.015,39,13
2022040913,,,0.055,0.012,38,10
2022040914,,,0.057,0.010,31,10
2022040915,,,0.059,0.009,40,14
2022040916,,,0.055,0.009,37,17
2022040917,,,0.054,0.010,34,6
2022040918,,,0.048,0.015,33,7
2022040919,,,0.045,0.017,31,9
2022040920,,,0.045,0.015,29,9
2022040921,,,0.045,0.015,28,14
2022040922,,,0.051,0.010,24,10
2022040923,,,0.050,0.010,24,9
2022040924,,,0.046,0.011,28,8
2022041001,,,0.040,0.016,23,7
2022041002,,,0.037,0.012,26,11
2022041003,,,0.032,0.015,19,9
2022041004,,,0.023,0.021,19,9
2022041005,,,0.031,0.014,20,13
2022041006,,,0.029,0.017,15,7
2022041007,,,0.018,0.027,21,7
2022041008,,,0.008,0.038,25,6
2022041009,,,0.040,0.017,28,9
2022041010,,,0.052,0.008,28,13
2022041011,,,0.056,0.006,25,12
2022041012,,,0.057,0.005,22,9
2022041013,,,0.057,0.006,18,9
2022041014,,,0.058,0.007,30,10
2022041015,,,0.058,0.007,28,12
2022041016,,,0.057,0.008,33,14
2022041017,,,0.054,0.009,34,18
2022041018,,,0.052,0.008,37,21
2022041019,,,0.049,0.010,38,18
2022041020,,,0.046,0.011,39,20
2022041021,,,0.044,0.013,35,20
2022041022,,,0.043,0.012,35,22
2022041023,,,0.039,0.014,39,17
2022041024,,,0.041,0.012,32,25
2022041101,,,0.036,0.014,32,18
2022041102,,,0.027,0.018,31,22
2022041103,,,0.019,0.020,38,24
2022041104,,,0.015,0.021,33,26
2022041105,,,0.010,0.024,30,23
2022041106,,,0.007,0.030,26,18
2022041107,,,0.003,0.047,26,20
2022041108,,,0.004,0.043,52,23
2022041109,,,0.009,0.039,54,27
2022041110,,,0.020,0.031,45,30
2022041111,,,0.035,0.015,37,23
2022041112,,,0.040,0.013,39,21
2022041113,,,0.040,0.011,34,15
2022041114,,,0.041,0.012,30,14
2022041115,,,0.036,0.016,32,14
2022041116,,,0.032,0.020,23,14
2022041117,,,0.037,0.018,23,15
2022041118,,,0.033,0.020,30,15
2022041119,,,0.027,0.028,39,12
2022041120,,,0.018,0.033,35,24
2022041121,,,0.020,0.027,34,24
2022041122,,,0.015,0.028,38,22
2022041123,,,0.009,0.025,33,20
2022041124,,,0.005,0.030,29,16
2022041201,,,0.005,0.027,28,17
2022041202,,,0.002,0.028,20,11
2022041203,,,0.003,0.029,28,15
2022041204,,,0.003,0.028,28,17
2022041205,,,0.004,0.025,27,16
2022041206,,,0.002,0.029,21,19
2022041207,,,0.003,0.032,20,15
2022041208,,,0.004,0.035,30,16
2022041209,,,0.014,0.028,40,19
2022041210,,,0.024,0.020,23,14
2022041211,,,0.031,0.016,16,10
2022041212,,,0.037,0.014,19,13
2022041213,,,0.042,0.011,23,9
2022041214,,,0.046,0.010,26,7
2022041215,,,0.044,0.014,24,8
2022041216,,,0.042,0.016,25,11
2022041217,,,0.038,0.019,27,14
2022041218,,,0.032,0.022,27,12
2022041219,,,0.026,0.022,27,12
2022041220,,,0.022,0.022,21,13
2022041221,,,0.019,0.023,17,14
2022041222,,,0.027,0.014,26,12
2022041223,,,0.024,0.013,16,8
2022041224,,,0.021,0.016,14,8
2022041301,,,0.025,0.012,18,7
2022041302,,,0.038,0.007,18,10
2022041303,,,0.042,0.006,20,17
2022041304,,,0.043,0.006,27,20
2022041305,,,0.038,0.010,31,20
2022041306,,,0.038,0.010,37,17
2022041307,,,0.032,0.016,33,19
2022041308,,,0.031,0.016,31,27
2022041309,,,0.033,0.013,27,24
2022041310,,,0.033,0.012,21,13
2022041311,,,0.032,0.011,11,7
