dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.054,0.019,46,26
2022042102,0.002,0.3,0.055,0.012,42,20
2022042103,0.002,0.3,0.054,0.009,26,20
2022042104,0.002,0.3,0.046,0.011,24,17
2022042105,0.002,0.3,0.046,0.010,26,19
2022042106,0.002,0.3,0.031,0.019,23,19
2022042107,0.002,0.3,0.024,0.026,28,24
2022042108,0.002,0.3,0.018,0.033,27,20
2022042109,0.002,0.4,0.011,0.041,28,19
2022042110,0.003,0.5,0.005,0.051,29,17
2022042111,0.003,0.4,0.029,0.043,53,25
2022042112,0.002,0.4,0.043,0.031,45,19
2022042113,0.002,0.4,0.047,0.026,28,24
2022042114,0.002,0.4,0.041,0.023,23,20
2022042115,0.002,0.4,0.036,0.023,16,
2022042116,0.002,0.3,0.045,0.017,19,11
2022042117,0.002,0.3,0.042,0.016,21,14
2022042118,0.002,0.3,0.040,0.016,17,17
2022042119,0.002,0.3,0.029,0.021,17,14
2022042120,0.002,0.3,0.014,0.024,15,
2022042121,0.002,0.3,0.011,0.024,23,17
2022042122,0.002,0.4,0.009,0.022,23,13
2022042123,0.002,0.4,0.009,0.021,27,17
2022042124,0.002,0.3,0.009,0.017,23,17
2022042201,0.002,0.3,0.010,0.015,12,
2022042202,0.002,0.3,0.007,0.017,18,18
2022042203,0.002,0.3,0.008,0.016,19,
2022042204,0.002,0.3,0.013,0.015,19,
2022042205,0.002,0.4,0.011,0.018,23,22
2022042206,0.002,0.5,0.005,0.025,28,21
2022042207,0.002,0.5,0.003,0.025,33,20
2022042208,0.002,0.6,0.005,0.033,32,20
2022042209,0.002,0.4,0.040,0.020,36,24
2022042210,0.003,0.4,0.045,0.022,29,19
2022042211,0.006,0.4,0.051,0.023,31,16
2022042212,0.004,0.3,0.059,0.020,36,14
2022042213,0.002,0.3,0.060,0.017,41,16
2022042214,0.002,0.3,0.062,0.017,35,15
2022042215,0.003,0.4,0.060,0.020,34,15
2022042216,0.002,0.3,0.066,0.016,41,20
