dataTime,busanUlsanHighway,Hwangnyeong,Gaegeum,Suyeong,Guseo,Gamjeon,Oryun,Namsan,Nakdong,Munhyeon,Uam,Hoedong,Buwon,Jinyang,Mangmi,Hakjang,Jurye,Bukbugeumsok,Gadeok,Songjeong,Jangan,Daejeo,Myeongnye,Geumsa,Beomnaegol,Wolgwang,Myeongji,Daedong
2022032111,845,16368,5261,4917,321,2919,4164,5244,1152,4336,1621,4162,0,1599,573,726,935,482,1166,1190,693,158,294,1936,698,634,728,605
2022032112,717,15232,4987,4720,0,2799,3951,4608,1266,3898,1380,4518,0,1517,630,663,1061,469,1126,1178,709,155,290,1676,667,580,802,700
2022032113,619,17241,5443,5091,0,2917,4269,5128,1477,4319,1647,4834,0,1871,666,790,1111,473,1246,1274,772,159,333,1632,707,707,678,698
2022032114,536,17205,5366,4579,0,2876,4665,5436,1198,4320,1721,4966,0,1789,619,771,1081,465,1354,1426,838,158,333,1576,654,725,701,676
2022032115,517,16514,5386,4901,0,2816,4657,5384,1260,4581,1811,5236,0,1782,649,878,1136,450,1560,1370,884,157,313,1604,675,733,759,641
2022032116,519,17881,5504,5278,63,2768,5666,6510,1264,4775,2030,6052,0,1751,609,869,1260,460,1610,1440,1016,273,372,1692,651,858,875,707
2022032117,444,17852,5245,5150,21882,2695,5660,6632,1097,4651,2181,5494,0,1433,564,746,1216,509,1332,1676,1211,599,440,1308,488,1016,1080,573
2022032118,326,16690,4854,5350,8787,2746,4345,6646,602,4581,2045,3144,0,1407,359,714,593,585,658,1454,1145,500,392,736,491,893,793,373
2022032119,219,14306,4567,3796,5238,2223,3601,4396,767,3462,1305,3440,0,1519,534,653,501,427,280,878,707,194,201,840,476,507,589,254
2022032120,150,12068,4357,3156,3270,1872,2682,3252,1172,2894,1041,3852,0,1540,659,614,897,298,196,728,485,116,146,1024,442,357,521,219
2022032121,124,11064,3551,2875,2307,1651,2049,2472,988,2318,774,3154,0,1323,560,518,759,273,120,430,49,44,90,900,376,271,291,139
