aprtfEtryptDt,total,MB,MK,MS
2022042908,62,32.21630842715797,10.795177982486068,18.988513590355964
2022042902,995,517.0197884680996,173.24519504151027,304.7350164903901
2022042910,703,365.29136813374276,122.40338905947912,215.3052428067781
2022042902,454,235.9065165472535,79.04856135562379,139.0449220971227
2022042909,115,59.75605595359946,20.023313999772544,35.220630046627996
2022042912,82,42.608665984305695,14.27749346070738,25.11384055498692
2022042914,82,42.608665984305695,14.27749346070738,25.11384055498692
2022042909,82,42.608665984305695,14.27749346070738,25.11384055498692
2022042911,149,77.4230638007506,25.943250312748777,45.63368588650062
2022042909,149,77.4230638007506,25.943250312748777,45.63368588650062
2022042911,40,20.784715114295462,6.964630956442624,12.250653929261912
2022042910,40,20.784715114295462,6.964630956442624,12.250653929261912
2022042901,173,89.89389286932787,30.122028886614352,52.98407824405777
2022042914,1084,563.265779597407,188.74149891959513,331.9927214829978
2022042910,92198,47907.729102695324,16053.126123052427,28237.144774252243
2022042903,74651,38789.99419993177,12997.91663823496,22863.089161833275
2022042908,17594,9142.15694302286,3063.3929261912886,5388.450130785852
2022042907,7747,4025.479699761174,1348.8749004890253,2372.6453997498006
2022042903,149,77.4230638007506,25.943250312748777,45.63368588650062
2022042902,4739,2462.469123166155,825.1346525645399,1451.396224269305
2022042914,3994,2075.353804162402,695.418401000796,1223.2277948368019
2022042912,21932,11396.259297168202,3818.707153417491,6717.033549414306
2022042914,7683,3992.2241555783007,1337.7314909587171,2353.0443534629817
2022042914,18872,9806.228590924598,3285.91288524963,5779.85852382577
2022042907,1545,802.8096212896622,269.00887069259636,473.18150801774135
2022042916,18064,9386.37734561583,3145.227339929489,5532.3953144546795
2022042907,146409,76076.73387922211,25492.116342545207,44840.149778232684
2022042912,32691,16986.828045035825,5692.018764926646,10012.153190037528
2022042905,179,93.0116001364722,31.166723530080745,54.82167633344706
2022042909,9998,5195.13954281815,1740.809507562834,3062.050949619015
2022042901,3745,1945.9689525759127,652.0635732969407,1146.9674741271465
2022042909,28827,14979.024564994883,5019.235414534289,8828.740020470828
2022042904,18358,9539.145001705903,3196.4173774593423,5622.437620834755
2022042909,27094,14078.526782668032,4717.492778346412,8297.980438985556
2022042901,40541,21065.828386216308,7058.8275901285115,12416.34402365518
2022042904,38320,19911.75707949505,6672.116456272034,11736.126464232912
2022042914,28592,14856.914363698397,4978.318207665188,8756.767428636414
2022042913,7726,4014.5677243261684,1345.2184692368928,2366.2138064369383
2022042909,3560,1849.839645172296,619.8521551233936,1090.3081997043103
2022042907,39362,20453.19890822245,6853.545092687365,12055.255999090185
2022042907,299,155.3657454793586,52.060616399408616,91.57363812123279
2022042914,299,155.3657454793586,52.060616399408616,91.57363812123279
2022042903,549,285.27021494370524,95.58955987717502,168.14022517911974
2022042908,556,288.9075400887069,96.80837029455247,170.28408961674057
2022042915,200,103.92357557147731,34.82315478221312,61.25326964630956
2022042908,753,391.27226202661205,131.10917775503242,230.6185602183555
2022042910,801,416.21392016376666,139.46673490276356,245.31934493346978
2022042909,4416,2294.632548618219,768.8952575912657,1352.4721937905151
2022042908,550,285.7898328215626,95.76367565108609,168.4464915273513
2022042915,534,277.4759467758444,92.97782326850904,163.54622995564654
2022042901,0,0.0,0.0,0.0
2022042902,0,0.0,0.0,0.0
2022042903,0,0.0,0.0,0.0
2022042904,0,0.0,0.0,0.0
2022042905,0,0.0,0.0,0.0
2022042906,0,0.0,0.0,0.0
2022042907,0,0.0,0.0,0.0
2022042908,0,0.0,0.0,0.0
2022042909,0,0.0,0.0,0.0
2022042910,0,0.0,0.0,0.0
2022042911,0,0.0,0.0,0.0
2022042912,0,0.0,0.0,0.0
2022042913,0,0.0,0.0,0.0
2022042914,0,0.0,0.0,0.0
2022042915,0,0.0,0.0,0.0
2022042916,0,0.0,0.0,0.0
2022042917,0,0.0,0.0,0.0
2022042918,0,0.0,0.0,0.0
2022042919,0,0.0,0.0,0.0
2022042920,0,0.0,0.0,0.0
2022042921,0,0.0,0.0,0.0
2022042922,0,0.0,0.0,0.0
2022042923,0,0.0,0.0,0.0
2022042924,0,0.0,0.0,0.0
2022042910,84,43.64790174002047,14.625725008529512,25.726373251450017
2022042908,84,43.64790174002047,14.625725008529512,25.726373251450017
2022042913,146,75.86421016717844,25.42090299101558,44.71488684180598
2022042901,129,67.03070624360286,22.460934834527464,39.508358921869664
2022042904,164,85.21733196861139,28.55498692141476,50.22768110997384
2022042911,68,35.33401569430229,11.839872625952461,20.82611167974525
2022042910,68,35.33401569430229,11.839872625952461,20.82611167974525
2022042916,141,73.2661207778915,24.550324121460253,43.18355510064824
2022042901,0,0.0,0.0,0.0
2022042902,0,0.0,0.0,0.0
2022042903,0,0.0,0.0,0.0
2022042904,0,0.0,0.0,0.0
2022042905,0,0.0,0.0,0.0
2022042906,0,0.0,0.0,0.0
2022042907,0,0.0,0.0,0.0
2022042908,0,0.0,0.0,0.0
2022042909,0,0.0,0.0,0.0
2022042910,0,0.0,0.0,0.0
2022042911,0,0.0,0.0,0.0
2022042912,0,0.0,0.0,0.0
2022042913,0,0.0,0.0,0.0
2022042914,0,0.0,0.0,0.0
2022042915,0,0.0,0.0,0.0
2022042916,0,0.0,0.0,0.0
2022042917,0,0.0,0.0,0.0
2022042918,0,0.0,0.0,0.0
2022042919,0,0.0,0.0,0.0
2022042920,0,0.0,0.0,0.0
2022042921,0,0.0,0.0,0.0
2022042922,0,0.0,0.0,0.0
2022042923,0,0.0,0.0,0.0
2022042924,0,0.0,0.0,0.0
