cntrlOpertDt,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2022042610,115,0.0,0.0,0.0,0,0,0
2022042616,149,0.0,0.0,0.0,0,0,0
2022042604,149,0.0,0.0,0.0,0,0,0
2022042616,149,149.0,0.0,0.0,1,0,0
2022042615,149,149.0,0.0,0.0,1,0,0
2022042614,248,0.0,0.0,0.0,0,0,0
2022042611,67,0.0,0.0,0.0,0,0,0
2022042609,67,0.0,0.0,67.0,0,0,1
2022042601,67,0.0,67.0,0.0,0,1,0
2022042603,125,125.0,0.0,0.0,1,0,0
2022042612,1036,1036.0,0.0,0.0,1,0,0
2022042601,50698,50698.0,0.0,0.0,1,0,0
2022042605,50698,50698.0,0.0,0.0,1,0,0
2022042616,50698,50698.0,0.0,0.0,1,0,0
2022042601,2992,2992.0,0.0,0.0,1,0,0
2022042615,9587,0.0,0.0,9587.0,0,0,1
2022042605,1975,0.0,1975.0,0.0,0,1,0
2022042607,1975,0.0,0.0,0.0,0,0,0
2022042601,9988,9988.0,0.0,0.0,1,0,0
2022042601,9520,9520.0,0.0,0.0,1,0,0
2022042609,12471,12471.0,0.0,0.0,1,0,0
2022042608,9948,9948.0,0.0,0.0,1,0,0
2022042614,54519,0.0,0.0,0.0,0,0,0
2022042610,465,465.0,0.0,0.0,1,0,0
2022042601,8076,8076.0,0.0,0.0,1,0,0
2022042612,3981,3981.0,0.0,0.0,1,0,0
2022042616,4914,0.0,0.0,0.0,0,0,0
2022042615,20569,0.0,0.0,0.0,0,0,0
2022042611,29558,0.0,0.0,0.0,0,0,0
2022042616,2114,2114.0,0.0,0.0,1,0,0
2022042615,9944,0.0,0.0,0.0,0,0,0
2022042608,17933,17933.0,0.0,0.0,1,0,0
2022042616,17853,0.0,0.0,0.0,0,0,0
2022042616,17853,17853.0,0.0,0.0,1,0,0
2022042601,17853,0.0,0.0,17853.0,0,0,1
2022042602,498,0.0,0.0,498.0,0,0,1
2022042615,28827,0.0,0.0,28827.0,0,0,1
2022042612,3513,3513.0,0.0,0.0,1,0,0
2022042604,25483,25483.0,0.0,0.0,1,0,0
2022042616,35812,0.0,0.0,0.0,0,0,0
2022042603,18296,0.0,18296.0,0.0,0,1,0
2022042601,142295,0.0,142295.0,0.0,0,1,0
2022042603,41391,0.0,0.0,41391.0,0,0,1
2022042608,6454,0.0,0.0,6454.0,0,0,1
2022042603,7323,0.0,0.0,7323.0,0,0,1
2022042615,7634,7634.0,0.0,0.0,1,0,0
2022042601,1999,0.0,0.0,0.0,0,0,0
2022042614,1501,0.0,0.0,0.0,0,0,0
2022042613,1460,0.0,0.0,0.0,0,0,0
2022042612,1130,0.0,0.0,0.0,0,0,0
2022042601,699,0.0,0.0,0.0,0,0,0
2022042612,12545,0.0,0.0,0.0,0,0,0
2022042613,438,0.0,0.0,0.0,0,0,0
2022042610,323,0.0,0.0,323.0,0,0,1
2022042605,223,0.0,0.0,223.0,0,0,1
2022042615,749,749.0,0.0,0.0,1,0,0
2022042614,1534,0.0,0.0,1534.0,0,0,1
2022042611,1534,0.0,0.0,0.0,0,0,0
2022042610,5914,0.0,0.0,5914.0,0,0,1
2022042607,550,0.0,0.0,550.0,0,0,1
2022042602,999,0.0,0.0,0.0,0,0,0
2022042601,0,0.0,0.0,0.0,0,0,0
2022042602,0,0.0,0.0,0.0,0,0,0
2022042603,0,0.0,0.0,0.0,0,0,0
2022042604,0,0.0,0.0,0.0,0,0,0
2022042605,0,0.0,0.0,0.0,0,0,0
2022042606,0,0.0,0.0,0.0,0,0,0
2022042607,0,0.0,0.0,0.0,0,0,0
2022042608,0,0.0,0.0,0.0,0,0,0
2022042609,0,0.0,0.0,0.0,0,0,0
2022042610,0,0.0,0.0,0.0,0,0,0
2022042611,0,0.0,0.0,0.0,0,0,0
2022042612,0,0.0,0.0,0.0,0,0,0
2022042613,0,0.0,0.0,0.0,0,0,0
2022042614,0,0.0,0.0,0.0,0,0,0
2022042615,0,0.0,0.0,0.0,0,0,0
2022042616,0,0.0,0.0,0.0,0,0,0
2022042617,0,0.0,0.0,0.0,0,0,0
2022042618,0,0.0,0.0,0.0,0,0,0
2022042619,0,0.0,0.0,0.0,0,0,0
2022042620,0,0.0,0.0,0.0,0,0,0
2022042621,0,0.0,0.0,0.0,0,0,0
2022042622,0,0.0,0.0,0.0,0,0,0
2022042623,0,0.0,0.0,0.0,0,0,0
2022042624,0,0.0,0.0,0.0,0,0,0
2022042616,28,0.0,0.0,0.0,0,0,0
2022042616,28,0.0,0.0,0.0,0,0,0
2022042616,148,0.0,0.0,0.0,0,0,0
2022042602,84,0.0,0.0,0.0,0,0,0
2022042617,84,0.0,0.0,0.0,0,0,0
2022042616,84,0.0,0.0,0.0,0,0,0
2022042615,84,0.0,0.0,0.0,0,0,0
2022042611,200,0.0,0.0,0.0,0,0,0
2022042606,200,0.0,0.0,0.0,0,0,0
2022042615,80,0.0,0.0,0.0,0,0,0
2022042611,59,0.0,0.0,59.0,0,0,1
2022042609,59,0.0,0.0,0.0,0,0,0
2022042604,563,0.0,0.0,0.0,0,0,0
2022042616,43,0.0,0.0,0.0,0,0,0
2022042616,43,0.0,0.0,0.0,0,0,0
2022042616,43,0.0,0.0,0.0,0,0,0
2022042611,62,0.0,0.0,0.0,0,0,0
2022042611,62,0.0,0.0,0.0,0,0,0
2022042610,62,0.0,0.0,0.0,0,0,0
2022042603,308,0.0,0.0,0.0,0,0,0
2022042613,308,0.0,0.0,0.0,0,0,0
2022042611,843,0.0,0.0,843.0,0,0,1
2022042607,320,0.0,0.0,320.0,0,0,1
2022042609,699,0.0,0.0,0.0,0,0,0
2022042616,699,0.0,0.0,0.0,0,0,0
2022042610,388,0.0,0.0,0.0,0,0,0
2022042601,0,0.0,0.0,0.0,0,0,0
2022042602,0,0.0,0.0,0.0,0,0,0
2022042603,0,0.0,0.0,0.0,0,0,0
2022042604,0,0.0,0.0,0.0,0,0,0
2022042605,0,0.0,0.0,0.0,0,0,0
2022042606,0,0.0,0.0,0.0,0,0,0
2022042607,0,0.0,0.0,0.0,0,0,0
2022042608,0,0.0,0.0,0.0,0,0,0
2022042609,0,0.0,0.0,0.0,0,0,0
2022042610,0,0.0,0.0,0.0,0,0,0
2022042611,0,0.0,0.0,0.0,0,0,0
2022042612,0,0.0,0.0,0.0,0,0,0
2022042613,0,0.0,0.0,0.0,0,0,0
2022042614,0,0.0,0.0,0.0,0,0,0
2022042615,0,0.0,0.0,0.0,0,0,0
2022042616,0,0.0,0.0,0.0,0,0,0
2022042617,0,0.0,0.0,0.0,0,0,0
2022042618,0,0.0,0.0,0.0,0,0,0
2022042619,0,0.0,0.0,0.0,0,0,0
2022042620,0,0.0,0.0,0.0,0,0,0
2022042621,0,0.0,0.0,0.0,0,0,0
2022042622,0,0.0,0.0,0.0,0,0,0
2022042623,0,0.0,0.0,0.0,0,0,0
2022042624,0,0.0,0.0,0.0,0,0,0
