dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2016010101.0,21148.0,5070.0,0.0,0.0,1.0,0.0,0.0
2016010102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016010103.0,83966.0,28048.0,0.0,0.0,1.0,0.0,0.0
2016010104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016010105.0,15995.0,0.0,0.0,0.0,0.0,0.0,0.0
2016010106.0,37971.0,0.0,0.0,0.0,0.0,0.0,0.0
2016010107.0,39607.0,0.0,5808.0,0.0,0.0,2.0,0.0
2016010108.0,92848.0,0.0,0.0,0.0,0.0,0.0,0.0
2016010109.0,85623.0,0.0,0.0,9599.0,0.0,0.0,1.0
2016010110.0,113625.0,27968.0,0.0,0.0,1.0,0.0,0.0
2016010111.0,191419.0,96628.0,0.0,18480.0,1.0,0.0,1.0
2016010112.0,76175.0,28361.0,0.0,6393.0,2.0,0.0,1.0
2016010113.0,148076.0,11679.0,0.0,24873.0,2.0,0.0,2.0
2016010114.0,181827.0,12615.0,0.0,0.0,2.0,0.0,0.0
2016010115.0,325536.0,211599.0,0.0,1974.0,5.0,0.0,1.0
2016010116.0,189176.0,13708.0,3560.0,109656.0,2.0,1.0,2.0
2016010117.0,179818.78000000003,9522.0,101.0,94511.0,1.0,1.0,1.0
2016010118.0,166986.0,132551.0,1651.0,11527.0,8.0,2.0,2.0
2016010119.0,53377.0,28927.0,4335.0,1294.0,1.0,1.0,3.0
2016010120.0,149224.0,31207.0,0.0,19831.0,4.0,0.0,1.0
2016010121.0,186661.0,63966.0,0.0,37007.0,2.0,0.0,2.0
2016010122.0,110135.0,5026.0,825.0,94725.0,3.0,1.0,2.0
2016010123.0,283851.0,12537.0,313.0,158113.0,2.0,1.0,4.0
2016010124.0,110576.0,7170.0,0.0,0.0,1.0,0.0,0.0
2016010201.0,180180.0,355.0,0.0,9599.0,1.0,0.0,1.0
2016010202.0,185678.0,0.0,0.0,0.0,0.0,0.0,0.0
2016010203.0,185785.0,1687.0,0.0,26064.0,2.0,0.0,1.0
2016010204.0,235755.0,378.0,0.0,0.0,1.0,0.0,0.0
2016010205.0,63359.0,0.0,0.0,62951.0,0.0,0.0,3.0
2016010206.0,29021.0,23504.0,67.0,0.0,2.0,1.0,0.0
2016010207.0,440632.0,201381.0,0.0,94711.0,5.0,0.0,2.0
2016010208.0,308572.0,44950.0,0.0,9998.0,3.0,0.0,1.0
2016010209.0,337735.0,42891.0,0.0,68635.0,6.0,0.0,4.0
2016010210.0,256820.0,9650.0,0.0,205564.0,3.0,0.0,4.0
2016010211.0,81373.04000000001,31037.0,5683.0,0.0,4.0,1.0,0.0
2016010212.0,354342.0,176862.0,313.0,0.0,5.0,1.0,0.0
2016010213.0,127608.0,787.0,0.0,14555.0,2.0,0.0,4.0
2016010214.0,225753.0,7334.0,0.0,51173.0,2.0,0.0,5.0
2016010215.0,145993.0,108529.0,0.0,0.0,4.0,0.0,0.0
2016010216.0,244627.0,45.0,8306.0,217729.0,1.0,1.0,5.0
2016010217.0,143839.0,320.0,0.0,0.0,1.0,0.0,0.0
2016010218.0,321921.0,117343.0,1598.0,50338.0,9.0,1.0,3.0
2016010219.0,289114.0,22222.0,0.0,123426.0,2.0,0.0,4.0
2016010220.0,76491.0,85.0,0.0,0.0,1.0,0.0,0.0
2016010221.0,344417.0,1161.0,0.0,175349.0,3.0,0.0,3.0
2016010222.0,260949.0,0.0,168666.0,44076.0,0.0,1.0,3.0
2016010223.0,311452.0,67094.0,0.0,212389.0,3.0,0.0,3.0
2016010224.0,313198.0,121284.0,0.0,28927.0,3.0,0.0,1.0
2016010301.0,202022.0,7054.0,0.0,16889.0,3.0,0.0,1.0
2016010302.0,163248.0,94511.0,0.0,96.0,1.0,0.0,1.0
2016010303.0,294114.0,45136.0,0.0,148022.0,4.0,0.0,3.0
2016010304.0,120035.0,8443.0,0.0,0.0,1.0,0.0,0.0
2016010305.0,134496.0,102954.0,0.0,575.0,2.0,0.0,1.0
2016010306.0,123844.0,44490.0,494.0,3260.0,3.0,1.0,1.0
2016010307.0,129694.0,9598.0,0.0,68.0,1.0,0.0,1.0
2016010308.0,89957.0,11640.0,149.0,499.0,4.0,1.0,1.0
2016010309.0,297242.0,49650.0,0.0,29783.0,8.0,0.0,3.0
2016010310.0,146224.0,1035.0,164.0,79702.0,5.0,1.0,1.0
2016010311.0,241586.0,44972.0,13322.0,172594.0,2.0,2.0,4.0
2016010312.0,185844.0,0.0,9530.0,0.0,0.0,1.0,0.0
2016010313.0,175047.0,5450.0,7170.0,19520.0,3.0,1.0,2.0
2016010314.0,189729.0,36360.0,0.0,45300.0,3.0,0.0,2.0
2016010315.0,265391.0,36094.0,23201.0,116568.0,6.0,2.0,1.0
2016010316.0,481447.0,45260.0,54519.0,127609.0,4.0,1.0,5.0
2016010317.0,263800.0,0.0,23312.0,113129.0,0.0,1.0,2.0
2016010318.0,268466.0,150968.0,67.0,45806.0,4.0,1.0,3.0
2016010319.0,99493.0,3975.0,9530.0,5315.0,3.0,1.0,1.0
2016010320.0,175753.0,210.0,0.0,99002.0,2.0,0.0,1.0
2016010321.0,60695.0,53612.0,0.0,1190.0,2.0,0.0,3.0
2016010322.0,201963.0,40542.0,0.0,45169.0,1.0,0.0,1.0
2016010323.0,19127.0,7628.0,0.0,9309.0,2.0,0.0,2.0
2016010324.0,63118.0,10759.0,0.0,41538.0,3.0,0.0,3.0
2016010401.0,17462.0,8716.0,0.0,0.0,3.0,0.0,0.0
2016010402.0,118229.0,0.0,0.0,116568.0,0.0,0.0,1.0
2016010403.0,237559.0,1673.0,0.0,169608.0,2.0,0.0,2.0
2016010404.0,161722.0,45169.0,0.0,113626.0,1.0,0.0,3.0
2016010405.0,130934.0,0.0,0.0,53822.0,0.0,0.0,1.0
2016010406.0,77691.0,1473.0,0.0,3692.0,1.0,0.0,1.0
2016010407.0,166395.0,1699.0,3774.0,1460.0,3.0,2.0,1.0
2016010408.0,294330.0,185080.0,1683.0,9742.0,5.0,1.0,1.0
2016010409.0,440846.0,43115.0,35970.0,0.0,5.0,2.0,0.0
2016010410.0,255009.0,78844.0,14912.0,95010.0,4.0,1.0,2.0
2016010411.0,327614.0,3018.0,14089.0,4076.0,3.0,1.0,2.0
2016010412.0,349630.0,19961.0,29496.0,9640.0,1.0,4.0,2.0
2016010413.0,252110.0,7775.0,20017.0,1927.0,5.0,2.0,3.0
2016010414.0,225820.0,6078.0,0.0,0.0,2.0,0.0,0.0
2016010415.0,77562.0,2751.0,38.0,19825.0,2.0,1.0,1.0
2016010416.0,146577.0,794.0,12679.0,22269.0,2.0,1.0,2.0
2016010417.0,62412.0,50309.0,214.0,8813.0,1.0,1.0,1.0
2016010418.0,207886.89,14526.0,494.0,41039.0,6.0,1.0,2.0
2016010419.0,201276.0,94.0,15503.0,63416.0,1.0,4.0,2.0
2016010420.0,144730.0,0.0,1125.0,1683.0,0.0,1.0,1.0
2016010421.0,54422.0,23312.0,0.0,0.0,1.0,0.0,0.0
2016010422.0,37102.45,352.0,110.0,0.0,3.0,1.0,0.0
2016010423.0,433304.0,162.0,0.0,185753.0,1.0,0.0,3.0
2016010424.0,24110.0,258.0,0.0,3060.0,2.0,0.0,2.0
2016010501.0,77763.0,5956.0,0.0,41380.0,2.0,0.0,4.0
2016010502.0,10761.0,94.0,0.0,94.0,1.0,0.0,1.0
2016010503.0,17385.0,9520.0,0.0,151.0,1.0,0.0,2.0
2016010504.0,187828.0,80736.0,23312.0,73284.0,2.0,1.0,2.0
2016010505.0,125880.0,19307.0,162.0,3487.0,3.0,1.0,3.0
2016010506.0,60337.0,10435.0,0.0,0.0,3.0,0.0,0.0
2016010507.0,283440.0,13281.0,13942.0,142295.0,2.0,3.0,1.0
2016010508.0,171896.0,126886.0,11958.0,192.0,8.0,2.0,1.0
2016010509.0,100069.45,4297.0,16941.0,26543.45,5.0,2.0,9.0
2016010510.0,130403.0,2508.0,0.0,10041.0,6.0,0.0,2.0
2016010511.0,161117.0,6242.0,43.0,82.0,3.0,1.0,1.0
2016010512.0,77748.0,3521.0,9070.0,5374.0,6.0,2.0,4.0
2016010513.0,153220.0,1652.0,1088.0,83418.0,2.0,3.0,8.0
2016010514.0,150280.0,3127.0,14191.0,89548.0,8.0,4.0,3.0
2016010515.0,141671.0,494.0,8276.0,13573.0,1.0,1.0,6.0
2016010516.0,147753.0,2019.0,43.0,20469.0,5.0,1.0,4.0
2016010517.0,327302.0,26968.0,26444.0,1226.0,5.0,3.0,3.0
2016010518.0,245325.0,31723.0,137942.0,550.0,7.0,3.0,1.0
2016010519.0,137223.0,0.0,999.0,82.0,0.0,1.0,1.0
2016010520.0,160260.0,43.0,534.0,94.0,1.0,1.0,1.0
2016010521.0,91114.0,498.0,9530.0,5566.0,1.0,1.0,3.0
2016010522.0,112248.0,5562.0,0.0,1200.0,3.0,0.0,3.0
2016010523.0,12841.0,576.0,0.0,0.0,2.0,0.0,0.0
2016010524.0,80871.0,72812.0,0.0,0.0,4.0,0.0,0.0
2016010601.0,183088.0,67546.0,0.0,114707.0,4.0,0.0,4.0
2016010602.0,156487.0,41300.0,0.0,0.0,1.0,0.0,0.0
2016010603.0,215771.0,215.0,0.0,82.0,2.0,0.0,1.0
2016010604.0,43113.0,82.0,0.0,718.0,1.0,0.0,4.0
2016010605.0,147227.0,16434.0,0.0,550.0,5.0,0.0,2.0
2016010606.0,73906.0,18401.0,0.0,0.0,2.0,0.0,0.0
2016010607.0,309503.0,5983.0,39775.0,18403.0,3.0,2.0,2.0
2016010608.0,316186.0,4760.0,89311.0,75308.0,2.0,4.0,1.0
2016010609.0,120614.0,65274.0,653.0,580.0,6.0,3.0,2.0
2016010610.0,295444.0,6375.0,28267.0,556.0,2.0,2.0,1.0
2016010611.0,134443.0,2671.0,133.0,0.0,2.0,2.0,0.0
2016010612.0,314882.0,42440.0,0.0,188547.0,6.0,0.0,3.0
2016010613.0,224151.0,53125.0,116650.0,29730.0,4.0,2.0,4.0
2016010614.0,426910.0,28441.0,24427.0,141457.0,4.0,3.0,7.0
2016010615.0,247857.0,72778.0,2004.0,82.0,6.0,2.0,1.0
2016010616.0,86115.0,26308.0,219.0,5403.0,7.0,4.0,1.0
2016010617.0,447012.0,45382.0,9601.0,230187.0,7.0,1.0,4.0
2016010618.0,252655.0,36764.0,35595.0,74333.0,8.0,1.0,5.0
2016010619.0,274530.0,52083.0,5585.0,0.0,2.0,1.0,0.0
2016010620.0,252274.0,8047.0,5046.0,0.0,2.0,2.0,0.0
2016010621.0,120382.0,9901.0,79454.0,0.0,3.0,2.0,0.0
2016010622.0,98701.0,5552.0,37347.0,164.0,2.0,3.0,1.0
2016010623.0,110876.0,22141.0,5403.0,641.0,2.0,1.0,2.0
2016010624.0,145961.0,1178.0,0.0,5403.0,2.0,0.0,1.0
2016010701.0,312553.0,43944.0,0.0,153256.0,3.0,0.0,2.0
2016010702.0,128004.0,549.0,0.0,5658.0,1.0,0.0,1.0
2016010703.0,64359.0,47268.0,0.0,0.0,2.0,0.0,0.0
2016010704.0,161404.0,16556.0,0.0,54765.0,2.0,0.0,3.0
2016010705.0,134502.0,164.0,0.0,79702.0,1.0,0.0,1.0
2016010706.0,257499.0,164900.0,28592.0,0.0,7.0,1.0,0.0
2016010707.0,380835.0,3977.0,585.0,222370.0,4.0,3.0,4.0
2016010708.0,332324.0,80018.0,162.0,38790.0,3.0,1.0,3.0
2016010709.0,327992.0,26329.0,96840.0,1065.0,4.0,3.0,2.0
2016010710.0,557701.0,51629.0,1311.0,85360.0,9.0,2.0,2.0
2016010711.0,634002.0,58288.0,162.0,309601.0,3.0,1.0,7.0
2016010712.0,288350.89,4143.89,14912.0,62761.0,4.0,1.0,3.0
2016010713.0,248443.0,11632.0,0.0,382.0,7.0,0.0,3.0
2016010714.0,252484.0,99143.0,20251.0,10273.0,7.0,3.0,3.0
2016010715.0,365981.0,29603.0,9112.0,72636.0,3.0,1.0,4.0
2016010716.0,366316.04000000004,93121.0,15080.0,57064.0,6.0,2.0,3.0
2016010717.0,334401.04000000004,21969.0,60305.0,114394.0,4.0,4.0,1.0
2016010718.0,423511.0,215994.0,0.0,82.0,15.0,0.0,1.0
2016010719.0,363207.0,4814.0,35978.0,194460.0,1.0,3.0,3.0
2016010720.0,201783.0,8307.0,0.0,5424.0,2.0,0.0,2.0
2016010721.0,53576.0,19753.0,5997.0,1014.0,7.0,1.0,1.0
2016010722.0,316431.0,623.0,0.0,34028.0,2.0,0.0,2.0
2016010723.0,445807.0,20127.0,0.0,193990.0,2.0,0.0,2.0
2016010724.0,148223.0,7149.0,0.0,93906.0,2.0,0.0,6.0
2016010801.0,262453.0,9910.0,0.0,58571.0,1.0,0.0,3.0
2016010802.0,238848.0,7170.0,0.0,9837.0,1.0,0.0,2.0
2016010803.0,363131.0,4578.0,498.0,232376.0,4.0,1.0,6.0
2016010804.0,70297.0,0.0,41359.0,0.0,0.0,1.0,0.0
2016010805.0,239724.0,44.0,6266.0,204500.0,1.0,2.0,4.0
2016010806.0,91512.0,0.0,0.0,7170.0,0.0,0.0,1.0
2016010807.0,288742.0,493.0,5495.0,81490.0,1.0,3.0,3.0
2016010808.0,245358.0,10538.0,42029.0,0.0,2.0,3.0,0.0
2016010809.0,430781.0,103590.0,177372.0,1893.0,7.0,3.0,3.0
2016010810.0,189632.0,50828.0,2341.0,50632.0,4.0,1.0,2.0
2016010811.0,330789.0,58565.0,8643.0,6305.0,5.0,2.0,3.0
