dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2022041201,69441.0,13634.0,0.0,54309.0,2,0,1
2022041202,46947.0,27997.0,0.0,13493.0,1,0,2
2022041203,113775.0,0.0,0.0,0.0,0,0,0
2022041204,152279.0,40.0,142295.0,9944.0,1,1,1
2022041205,161554.0,6154.0,92293.0,62108.0,1,1,2
2022041206,29304.0,2994.0,0.0,0.0,1,0,0
2022041207,11940.0,6410.0,4416.0,0.0,2,1,0
2022041208,234493.86,155770.0,0.0,0.0,5,0,0
2022041209,69253.0,102.0,777.0,18502.0,2,3,1
2022041210,40432.86,9667.0,557.0,0.0,2,3,0
2022041211,2167.4300000000007,390.0,0.0,0.0,1,0,0
2022041212,32102.0,798.0,0.0,24649.0,1,0,1
2022041213,54717.0,2212.0,0.0,0.0,3,0,0
2022041214,35523.86,0.0,24649.0,0.0,0,1,0
2022041215,9530.86,855.0,5598.0,759.0,2,1,1
2022041216,49502.43,18211.0,2187.0,0.0,2,3,0
2022041217,12203.0,0.0,322.0,40.0,0,1,1
2022041218,325215.86,54.43,52671.0,9527.0,1,2,1
2022041219,21536.43,0.0,4602.0,15849.0,0,4,1
2022041220,114897.0,50646.0,19991.0,0.0,4,5,0
2022041221,84981.0,12545.0,0.0,0.0,1,0,0
2022041222,5667.0,5203.0,0.0,424.0,2,0,1
2022041223,196480.0,0.0,142295.0,52581.0,0,1,1
2022041224,110059.0,24899.0,54.0,79373.0,3,1,3
2022041301,36961.0,34204.0,0.0,2709.0,2,0,1
2022041301,23098.0,22955.0,0.0,0.0,2,0,0
2022041302,49036.0,33635.0,0.0,15401.0,3,0,2
2022041302,216698.0,0.0,213157.0,1925.0,0,2,2
2022041303,96359.0,4066.0,0.0,0.0,2,0,0
2022041303,78347.0,2806.0,40541.0,18283.0,2,1,1
2022041304,127300.0,92355.0,0.0,0.0,2,0,0
2022041304,40582.0,3393.0,0.0,18283.0,3,0,1
2022041305,327563.0,234259.0,82794.0,443.0,4,1,1
2022041305,20691.0,299.0,0.0,13069.0,1,0,1
2022041306,48019.0,47947.0,72.0,0.0,2,1,0
2022041306,21031.0,561.0,0.0,0.0,2,0,0
2022041307,168093.0,131799.0,0.0,34584.0,2,0,1
2022041307,23947.0,4972.0,1841.0,9867.0,1,2,1
2022041308,33276.0,4550.0,2282.0,0.0,2,2,0
2022041308,31199.0,10070.0,164.0,0.0,2,1,0
2022041309,31316.0,499.0,9756.0,86.0,1,2,1
2022041309,52982.0,1257.0,19961.0,18283.0,2,1,1
2022041310,154592.0,2151.0,141410.0,0.0,2,4,0
2022041310,193451.43,499.0,0.0,52648.0,1,0,2
2022041311,2472.29,465.0,420.0,0.0,1,2,0
2022041311,118040.0,33112.0,7747.0,30608.0,1,1,3
2022041312,1256.86,210.0,210.0,0.0,1,1,0
2022041312,19243.0,0.0,0.0,0.0,0,0,0
2022041313,35404.0,12168.0,15009.0,0.0,6,2,0
2022041313,35743.0,250.0,0.0,0.0,2,0,0
2022041314,120932.0,92503.0,0.0,0.0,2,0,0
2022041314,283486.0,0.0,192309.0,12413.0,0,2,1
2022041315,44802.0,43907.0,0.0,0.0,3,0,0
2022041315,63406.0,16850.0,0.0,5457.0,1,0,1
2022041316,207917.0,32551.0,141077.0,19402.0,1,1,2
2022041316,1189.29,0.0,0.0,0.0,0,0,0
2022041317,175857.0,122613.0,268.0,0.0,7,1,0
