dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2022042512,223.0,0.0,0.0,0.0,0,0,0
2022042512,1026.0,0.0,0.0,0.0,0,0,0
2022042512,98.0,0.0,0.0,0.0,0,0,0
2022042512,41482.0,41482.0,0.0,0.0,1,0,0
2022042512,84.0,0.0,0.0,0.0,0,0,0
2022042513,136.0,0.0,0.0,0.0,0,0,0
2022042513,84.0,0.0,0.0,0.0,0,0,0
2022042513,9078.0,703.0,7944.0,0.0,1,1,0
2022042513,9882.0,0.0,0.0,0.0,0,0,0
2022042514,82.0,0.0,0.0,0.0,0,0,0
2022042514,499.0,0.0,499.0,0.0,0,1,0
2022042514,93.0,0.0,31.0,0.0,0,1,0
2022042515,84.0,0.0,0.0,0.0,0,0,0
2022042515,1721.0,0.0,0.0,0.0,0,0,0
2022042516,8443.0,0.0,499.0,0.0,0,1,0
2022042516,24205.0,0.0,24205.0,0.0,0,1,0
2022042516,68.0,0.0,0.0,0.0,0,0,0
2022042517,10287.0,1094.0,7944.0,0.0,1,1,0
2022042517,167.0,0.0,31.0,0.0,0,1,0
2022042518,9753.0,0.0,0.0,0.0,0,0,0
2022042518,10165.0,0.0,0.0,0.0,0,0,0
2022042519,10403.0,0.0,0.0,9972.0,0,0,1
2022042520,415.0,0.0,0.0,0.0,0,0,0
2022042520,9998.0,0.0,9998.0,0.0,0,1,0
2022042521,7941.0,0.0,0.0,0.0,0,0,0
2022042522,7201.0,0.0,0.0,0.0,0,0,0
2022042523,6998.0,0.0,6998.0,0.0,0,1,0
2022042524,628.0,0.0,0.0,0.0,0,0,0
2022042608,9672.0,0.0,9641.0,0.0,0,2,0
2022042609,998.0,0.0,0.0,0.0,0,0,0
2022042609,180.0,0.0,0.0,0.0,0,0,0
2022042609,1653.0,0.0,0.0,0.0,0,0,0
2022042610,90.0,0.0,0.0,0.0,0,0,0
2022042610,155.0,0.0,31.0,0.0,0,1,0
2022042610,499.0,0.0,0.0,0.0,0,0,0
2022042611,90.0,0.0,0.0,0.0,0,0,0
2022042611,93.0,0.0,0.0,0.0,0,0,0
2022042611,1162.0,0.0,0.0,0.0,0,0,0
2022042612,7972.0,0.0,0.0,0.0,0,0,0
2022042613,7170.0,0.0,0.0,0.0,0,0,0
2022042614,1210.0,0.0,0.0,0.0,0,0,0
2022042614,180.0,0.0,0.0,0.0,0,0,0
2022042615,62.0,0.0,0.0,0.0,0,0,0
2022042616,749.0,0.0,0.0,0.0,0,0,0
