dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2022042601,244187,81274.0,142362.0,17853.0,5,2,1
2022042602,1581,0.0,0.0,498.0,0,0,1
2022042603,67443,125.0,18296.0,48714.0,1,1,2
2022042604,26195,25483.0,0.0,0.0,1,0,0
2022042605,52896,50698.0,1975.0,223.0,1,1,1
2022042606,200,0.0,0.0,0.0,0,0,0
2022042607,2845,1975.0,0.0,870.0,1,0,2
2022042608,34335,27881.0,0.0,6454.0,2,0,1
2022042609,13296,12471.0,0.0,126.0,1,0,2
2022042610,7267,465.0,0.0,6237.0,1,0,2
2022042611,32385,0.0,0.0,2436.0,0,0,3
2022042612,22205,8530.0,0.0,0.0,3,0,0
2022042613,2206,0.0,0.0,0.0,0,0,0
2022042614,57802,0.0,0.0,1534.0,0,0,1
2022042615,77623,8532.0,0.0,38414.0,3,0,2
2022042616,130658,70814.0,0.0,0.0,4,0,0
2022042617,84,0.0,0.0,0.0,0,0,0
2022042618,0,0.0,0.0,0.0,0,0,0
2022042619,0,0.0,0.0,0.0,0,0,0
2022042620,0,0.0,0.0,0.0,0,0,0
2022042621,0,0.0,0.0,0.0,0,0,0
2022042622,0,0.0,0.0,0.0,0,0,0
2022042623,0,0.0,0.0,0.0,0,0,0
2022042624,0,0.0,0.0,0.0,0,0,0
