dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2022042501,40165.0,0.0,0.0,40165.0,0,0,1
2022042502,113107.0,0.0,0.0,112967.0,0,0,1
2022042503,10466.0,9520.0,0.0,801.0,1,0,1
2022042504,99739.0,6402.0,0.0,92594.0,1,0,2
2022042505,14749.0,10010.0,4739.0,0.0,2,1,0
2022042506,32187.0,0.0,24504.0,7683.0,0,1,1
2022042507,122085.0,15211.0,31718.0,75015.0,2,4,1
2022042508,48231.0,11856.0,2917.0,0.0,1,2,0
2022042509,20411.0,67.0,1220.0,0.0,1,3,0
2022042510,34924.0,9954.0,2995.0,18982.0,1,1,2
2022042511,10584.0,9988.0,0.0,0.0,1,0,0
2022042512,7372.0,0.0,51.0,141.0,0,1,1
2022042513,41877.0,9940.0,0.0,27910.0,1,0,1
2022042514,33995.0,59.0,0.0,32903.0,1,0,1
2022042515,11769.43,9587.0,0.0,0.0,1,0,0
2022042516,94014.0,9524.0,1499.0,72597.0,1,1,1
2022042517,0.0,0.0,0.0,0.0,0,0,0
2022042518,0.0,0.0,0.0,0.0,0,0,0
2022042519,0.0,0.0,0.0,0.0,0,0,0
2022042520,0.0,0.0,0.0,0.0,0,0,0
2022042521,0.0,0.0,0.0,0.0,0,0,0
2022042522,0.0,0.0,0.0,0.0,0,0,0
2022042523,0.0,0.0,0.0,0.0,0,0,0
2022042524,0.0,0.0,0.0,0.0,0,0,0
