dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2022041101,12608.0,11545.0,0.0,0.0,2,0,0
2022041102,134916.0,84048.0,0.0,0.0,2,0,0
2022041103,73391.0,66280.0,0.0,7111.0,1,0,1
2022041104,362732.0,0.0,0.0,360463.0,0,0,3
2022041105,291.0,0.0,0.0,0.0,0,0,0
2022041106,46971.0,19867.0,0.0,27104.0,2,0,1
2022041107,56642.0,34841.0,21753.0,0.0,2,4,0
2022041108,65799.0,11856.0,703.0,0.0,1,1,0
2022041109,25800.0,3765.0,3783.0,18252.0,1,4,1
2022041110,1664.0,796.0,0.0,751.0,1,0,1
2022041111,35345.0,0.0,33036.0,0.0,0,1,0
2022041112,148972.0,42776.0,62.0,104405.0,4,1,2
2022041113,168422.0,12208.0,1222.0,141732.0,3,2,2
2022041114,229217.0,7844.0,227.0,219292.0,3,2,2
2022041115,1727.0,0.0,40.0,1478.0,0,1,3
2022041116,108637.0,11168.0,4739.0,90107.0,2,1,1
2022041117,12997.0,0.0,5406.0,1059.0,0,3,2
2022041118,98643.0,54871.0,2930.0,0.0,4,1,0
2022041119,30444.0,29492.0,0.0,0.0,2,0,0
2022041120,10255.0,0.0,0.0,9972.0,0,0,1
2022041121,3553.0,0.0,0.0,0.0,0,0,0
2022041122,328.0,59.0,0.0,0.0,1,0,0
2022041123,24587.0,21075.0,3264.0,0.0,4,1,0
2022041124,18339.0,18152.0,299.0,0.0,2,1,0
2022041201,123605.0,50490.0,0.0,52581.0,2,0,1
2022041202,254334.0,27997.0,0.0,226337.0,1,0,3
2022041203,63226.0,314.0,0.0,0.0,1,0,0
2022041204,65317.0,18502.0,5457.0,41358.0,1,1,1
2022041205,40354.0,8306.0,465.0,31583.0,1,1,2
2022041206,30922.0,16850.0,0.0,0.0,1,0,0
2022041207,17587.0,12057.0,4416.0,0.0,2,1,0
2022041208,51167.0,45153.0,0.0,0.0,5,0,0
2022041209,99758.0,62.0,149.0,75201.0,1,1,1
2022041210,33387.0,12921.0,6775.0,0.0,2,4,0
2022041211,956.86,759.0,54.43,0.0,1,1,0
2022041212,18547.0,0.0,0.0,18337.0,0,0,2
2022041213,90376.0,11251.0,0.0,0.0,2,0,0
2022041214,34787.0,149.0,34584.0,149.0,1,1,1
2022041215,98852.03,5576.0,91.0,87167.0,3,1,2
2022041216,18071.0,9611.0,1887.0,10689.0,2,2,2
2022041217,94864.0,308.0,0.0,92293.0,1,0,1
2022041218,20068.0,499.0,18936.0,0.0,1,3,0
2022041219,113850.0,0.0,0.0,113735.0,0,0,1
2022041220,43387.0,42474.0,1084.0,0.0,5,4,0
2022041221,8127.0,5770.0,507.0,0.0,1,1,0
2022041222,499.0,499.0,0.0,0.0,1,0,0
2022041223,1888.0,0.0,0.0,1589.0,0,0,2
2022041224,152832.0,10067.0,0.0,142295.0,2,0,1
2022041301,101491.0,6101.0,268.0,95658.0,3,1,2
