dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2022042309,47896.0,6166.0,8053.0,54.0,5,3,1
2022042310,213161.0,53272.0,739.0,141840.0,2,1,3
2022042311,44073.0,0.0,113.0,26695.0,0,1,2
2022042312,139872.0,0.0,31681.0,0.0,0,2,0
2022042313,83244.0,7323.0,0.0,67.0,1,0,1
2022042314,154410.51,9865.0,2018.0,141328.0,1,2,1
2022042315,1715.0,0.0,0.0,1588.0,0,0,2
2022042316,132604.0,21069.0,0.0,110632.0,2,0,1
2022042317,26971.0,24101.0,0.0,16737.0,4,0,1
2022042318,17142.0,0.0,0.0,7323.0,0,0,1
2022042319,11052.0,10263.0,0.0,0.0,2,0,0
2022042320,10234.0,9923.0,0.0,0.0,1,0,0
2022042321,154747.0,79234.0,0.0,74661.0,2,0,1
2022042322,71786.0,0.0,0.0,71786.0,0,0,1
2022042323,8620.0,90.0,5459.0,0.0,1,1,0
2022042324,6393.0,130.0,94.0,0.0,1,1,0
2022042401,152192.0,9397.0,0.0,142330.0,2,0,3
2022042402,6343.0,5500.0,0.0,0.0,1,0,0
2022042403,153020.0,7532.0,0.0,108689.0,1,0,3
2022042404,16954.0,16731.0,0.0,0.0,1,0,0
2022042405,0.0,0.0,0.0,0.0,0,0,0
2022042406,22920.0,21611.0,0.0,775.0,2,0,2
2022042407,120378.0,23309.0,0.0,96771.0,3,0,2
2022042408,4573.0,3994.0,0.0,579.0,1,0,1
2022042409,67315.0,2440.0,0.0,56427.0,1,0,3
2022042410,115472.0,0.0,5362.0,85179.0,0,2,2
2022042411,56856.0,45101.0,2006.0,0.0,2,2,0
2022042412,56900.0,6900.0,7953.0,40487.0,2,2,1
2022042413,114394.0,7170.0,3199.0,103967.0,1,1,2
2022042414,69858.0,0.0,35851.0,33836.0,0,1,2
2022042415,30712.0,0.0,31.0,0.0,0,1,0
2022042416,36519.0,36126.0,0.0,0.0,2,0,0
2022042417,0.0,0.0,0.0,0.0,0,0,0
2022042418,4608.0,0.0,0.0,0.0,0,0,0
2022042419,101134.0,6714.0,0.0,100399.0,1,0,2
2022042420,52085.0,52062.0,0.0,0.0,3,0,0
2022042421,242480.0,39906.0,0.0,169075.0,1,0,3
2022042422,75256.0,0.0,0.0,67040.0,0,0,2
2022042423,96955.0,0.0,0.0,95390.0,0,0,1
2022042424,463.0,0.0,0.0,314.0,0,0,1
