aprtfEtryptDt,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2022042512,4727,0.0,0.0,0.0,0,0,0
2022042507,7392,0.0,7392.0,0.0,0,1,0
2022042506,7683,0.0,0.0,7683.0,0,0,1
2022042507,7747,7747.0,0.0,0.0,1,0,0
2022042509,1972,0.0,0.0,0.0,0,0,0
2022042504,64254,0.0,0.0,64254.0,0,0,1
2022042508,408,0.0,408.0,0.0,0,1,0
2022042508,144,0.0,0.0,0.0,0,0,0
2022042508,2509,0.0,2509.0,0.0,0,1,0
2022042505,4739,0.0,4739.0,0.0,0,1,0
2022042508,5403,0.0,0.0,0.0,0,0,0
2022042510,18283,0.0,0.0,18283.0,0,0,1
2022042508,1094,0.0,0.0,0.0,0,0,0
2022042505,9916,9916.0,0.0,0.0,1,0,0
2022042513,1162,0.0,0.0,0.0,0,0,0
2022042509,2999,0.0,0.0,0.0,0,0,0
2022042508,1995,0.0,0.0,0.0,0,0,0
2022042502,112967,0.0,0.0,112967.0,0,0,1
2022042508,11856,11856.0,0.0,0.0,1,0,0
2022042507,141,0.0,0.0,0.0,0,0,0
2022042511,9988,9988.0,0.0,0.0,1,0,0
2022042506,24504,0.0,24504.0,0.0,0,1,0
2022042509,1014,0.0,1014.0,0.0,0,1,0
2022042516,9598,0.0,0.0,0.0,0,0,0
2022042502,140,0.0,0.0,0.0,0,0,0
2022042503,9520,9520.0,0.0,0.0,1,0,0
2022042507,75015,0.0,0.0,75015.0,0,0,1
2022042516,9524,9524.0,0.0,0.0,1,0,0
2022042510,9954,9954.0,0.0,0.0,1,0,0
2022042509,11289,0.0,0.0,0.0,0,0,0
2022042512,1574,0.0,0.0,0.0,0,0,0
2022042508,23456,0.0,0.0,0.0,0,0,0
2022042516,72597,0.0,0.0,72597.0,0,0,1
2022042513,9940,9940.0,0.0,0.0,1,0,0
2022042507,19822,0.0,19822.0,0.0,0,1,0
2022042514,32903,0.0,0.0,32903.0,0,0,1
2022042516,1499,0.0,1499.0,0.0,0,1,0
2022042515,281,0.0,0.0,0.0,0,0,0
2022042510,697,0.0,0.0,0.0,0,0,0
2022042508,1094,0.0,0.0,0.0,0,0,0
2022042510,2995,0.0,2995.0,0.0,0,1,0
2022042501,40165,0.0,0.0,40165.0,0,0,1
2022042509,2252,0.0,0.0,0.0,0,0,0
2022042510,699,0.0,0.0,699.0,0,0,1
2022042512,556,0.0,0.0,0.0,0,0,0
2022042504,6402,6402.0,0.0,0.0,1,0,0
2022042504,743,0.0,0.0,0.0,0,0,0
2022042509,126,0.0,126.0,0.0,0,1,0
2022042503,801,0.0,0.0,801.0,0,0,1
2022042507,4401,0.0,4401.0,0.0,0,1,0
2022042501,0,0.0,0.0,0.0,0,0,0
2022042502,0,0.0,0.0,0.0,0,0,0
2022042503,0,0.0,0.0,0.0,0,0,0
2022042504,0,0.0,0.0,0.0,0,0,0
2022042505,0,0.0,0.0,0.0,0,0,0
2022042506,0,0.0,0.0,0.0,0,0,0
2022042507,0,0.0,0.0,0.0,0,0,0
2022042508,0,0.0,0.0,0.0,0,0,0
2022042509,0,0.0,0.0,0.0,0,0,0
2022042510,0,0.0,0.0,0.0,0,0,0
2022042511,0,0.0,0.0,0.0,0,0,0
2022042512,0,0.0,0.0,0.0,0,0,0
2022042513,0,0.0,0.0,0.0,0,0,0
2022042514,0,0.0,0.0,0.0,0,0,0
2022042515,0,0.0,0.0,0.0,0,0,0
2022042516,0,0.0,0.0,0.0,0,0,0
2022042517,0,0.0,0.0,0.0,0,0,0
2022042518,0,0.0,0.0,0.0,0,0,0
2022042519,0,0.0,0.0,0.0,0,0,0
2022042520,0,0.0,0.0,0.0,0,0,0
2022042521,0,0.0,0.0,0.0,0,0,0
2022042522,0,0.0,0.0,0.0,0,0,0
2022042523,0,0.0,0.0,0.0,0,0,0
2022042524,0,0.0,0.0,0.0,0,0,0
2022042509,80,0.0,80.0,0.0,0,1,0
2022042515,51,0.0,0.0,0.0,0,0,0
2022042512,51,0.0,51.0,0.0,0,1,0
2022042512,141,0.0,0.0,141.0,0,0,1
2022042516,149,0.0,0.0,0.0,0,0,0
2022042513,149,0.0,0.0,0.0,0,0,0
2022042507,103,0.0,103.0,0.0,0,1,0
2022042510,94,0.0,0.0,0.0,0,0,0
2022042512,83,0.0,0.0,0.0,0,0,0
2022042515,66,0.0,0.0,0.0,0,0,0
2022042510,66,0.0,0.0,0.0,0,0,0
2022042514,59,59.0,0.0,0.0,1,0,0
2022042505,94,94.0,0.0,0.0,1,0,0
2022042509,487,0.0,0.0,0.0,0,0,0
2022042514,140,0.0,0.0,0.0,0,0,0
2022042511,43,0.0,0.0,0.0,0,0,0
2022042508,43,0.0,0.0,0.0,0,0,0
2022042512,15,0.0,0.0,0.0,0,0,0
