dataTime,total,MB,MK,MS
2022032309,165708.0,86104.8393039918,28852.376663254865,50750.78403275332
2022032310,23259.0,12085.792221084954,4049.758785397475,7123.448993517571
2022032311,18692.0,9712.69737291027,3254.5720459456384,5724.730581144092
2022032312,60504.0,31438.96008188332,10534.700784715116,18530.339133401565
2022032313,50601.0,26293.18423746162,8810.432275673831,15497.38348686455
2022032314,150948.0,78435.27942681678,26282.427840327528,46230.29273285568
2022032315,0.0,0.0,0.0,0.0
2022032316,0.0,0.0,0.0,0.0
2022032317,0.0,0.0,0.0,0.0
2022032318,0.0,0.0,0.0,0.0
2022032319,0.0,0.0,0.0,0.0
2022032320,0.0,0.0,0.0,0.0
2022032321,0.0,0.0,0.0,0.0
2022032322,0.0,0.0,0.0,0.0
2022032323,0.0,0.0,0.0,0.0
2022032324,0.0,0.0,0.0,0.0
2022032401,81703.0,42454.33947458206,14225.781075855792,25022.879449562148
2022032402,30247.0,15716.881951552374,5266.479813488002,9263.638234959626
2022032403,80333.0,41742.46298191743,13987.242465597634,24603.29455248492
2022032404,38992.0,20260.940293415213,6789.12225634027,11941.937450244512
2022032405,40141.0,20857.981235073355,6989.181280564085,12293.837484362559
2022032406,29214.0,15180.116683725691,5086.618219037871,8947.265097236437
2022032407,254943.0,132472.9406345957,44389.5977482088,78080.4616171955
2022032408,57247.0,29746.5646537018,9967.60570908677,17532.82963721142
2022032409,67490.0,35069.01057659503,11751.07358125782,20669.91584214716
2022032410,55283.0,28726.035141589902,9625.642329125441,16931.322529284655
2022032411,97437.0,50630.00716479016,16965.3186625725,29841.67417263732
2022032412,18625.0,9677.882975093824,3242.906289093597,5704.210735812578
2022032413,153009.0,79506.21187308087,26641.28045035824,46861.5076765609
2022032414,3828.0,1989.097236438076,666.5151825315593,1172.387581030365
2022032415,2487.0,1292.2896622313206,433.0259297168202,761.6844080518595
2022032416,0.0,0.0,0.0,0.0
2022032417,0.0,0.0,0.0,0.0
2022032418,0.0,0.0,0.0,0.0
2022032419,0.0,0.0,0.0,0.0
2022032420,0.0,0.0,0.0,0.0
2022032421,0.0,0.0,0.0,0.0
2022032422,0.0,0.0,0.0,0.0
2022032423,0.0,0.0,0.0,0.0
2022032424,0.0,0.0,0.0,0.0
