dataTime,93_72,93_73,93_71,93_74,93_75,93_78,93_77,93_76,93_79,93_80,94_71,94_72,94_73,94_74,94_75,94_76,94_77,94_78,94_79,94_80,95_71,95_72,95_73,95_74,95_75,95_76,95_77,95_78,95_79,95_80,96_71,96_72,96_73,96_74,96_75,96_76,96_77,96_78,96_79,96_80,97_71,97_72,97_73,97_74,97_75,97_76,97_77,97_78,97_79,97_80,98_71,98_72,98_73,98_74,98_75,98_76,98_77,98_79,98_78,99_75,99_71,99_72,99_73,98_80,99_74,99_77,99_76,99_78,99_79,99_80,100_71,100_72,100_73,100_74,100_75,100_76,100_77,100_78,100_79,100_80,101_71,101_72,101_73,101_74,101_75,101_76,101_77,101_78,101_79,101_80,102_71,102_72,102_73,102_74,102_75,102_76,102_77,102_78,102_79,102_80
2022042115,93,84,,84,90,87,91,91,90,90,,93,93,84,91,91,91,91,90,90,,,89,89,89,91,91,92,91,90,,,93,90,89,78,78,95,91,84,,,93,93,92,84,84,93,95,91,,,93,93,96,90,90,84,91,95,,,,84,96,90,95,91,84,84,,,,,95,95,95,95,95,84,,,,,,95,95,95,95,86,,,,,,,,,86,86
2022042116,93,90,,90,88,79,94,94,88,88,,93,93,90,94,94,94,94,88,88,,,90,90,90,94,94,91,94,88,,,92,88,90,84,84,94,91,81,,,92,92,91,85,85,94,94,91,,,92,92,94,90,90,81,91,96,,,,81,94,90,96,91,81,81,,,,,96,96,95,95,95,81,,,,,,96,95,95,95,83,,,,,,,,,83,83
2022042117,93,84,,84,86,82,88,88,80,80,,93,93,84,88,88,88,88,80,80,,,84,84,84,88,88,92,88,80,,,88,86,84,84,84,91,89,81,,,88,88,92,82,82,92,91,91,,,88,88,91,83,83,81,89,98,,,,81,91,83,98,89,81,81,,,,,98,98,95,95,95,81,,,,,,98,95,95,95,87,,,,,,,,,87,87
2022042118,91,96,,96,91,93,91,91,91,91,,91,91,96,91,91,91,91,91,91,,,95,95,95,91,91,94,91,91,,,92,91,95,89,89,99,95,88,,,92,92,94,86,86,78,99,96,,,92,92,87,90,90,88,95,100,,,,88,87,90,100,95,88,88,,,,,100,100,96,96,96,88,,,,,,100,96,96,96,92,,,,,,,,,92,92
2022042119,91,98,,98,88,95,95,95,94,94,,91,91,98,95,95,95,95,94,94,,,95,95,95,95,95,95,95,94,,,92,88,95,93,93,100,96,86,,,92,92,95,93,93,70,100,95,,,92,92,94,89,89,86,96,100,,,,86,94,89,100,96,86,86,,,,,100,100,96,96,96,86,,,,,,100,96,96,96,93,,,,,,,,,93,93
2022042120,90,99,,99,88,96,93,93,95,95,,90,90,99,93,93,93,93,95,95,,,97,97,97,93,93,96,93,95,,,89,88,97,93,93,100,96,91,,,89,89,96,96,96,90,100,97,,,89,89,96,91,91,91,96,100,,,,91,96,91,100,96,91,91,,,,,100,100,96,96,96,91,,,,,,100,96,96,96,91,,,,,,,,,91,91
2022042121,91,99,,99,86,97,95,95,95,95,,91,91,99,95,95,95,95,95,95,,,99,99,99,95,95,96,95,95,,,88,86,99,93,93,98,97,92,,,88,88,96,96,96,74,98,97,,,88,88,90,91,91,92,97,100,,,,92,90,91,100,97,92,92,,,,,100,100,98,98,98,92,,,,,,100,98,98,98,90,,,,,,,,,90,90
2022042122,92,99,,99,94,97,98,98,96,96,,92,92,99,98,98,98,98,96,96,,,100,100,100,98,98,97,98,96,,,86,94,100,93,93,99,97,93,,,86,86,97,96,96,83,99,98,,,86,86,87,93,93,93,97,100,,,,93,87,93,100,97,93,93,,,,,100,100,98,98,98,93,,,,,,100,98,98,98,92,,,,,,,,,92,92
2022042123,92,99,,99,96,98,98,98,96,96,,92,92,99,98,98,98,98,96,96,,,100,100,100,98,98,95,98,96,,,91,96,100,94,94,100,97,93,,,91,91,95,95,95,82,100,98,,,91,91,91,91,91,93,97,100,,,,93,91,91,100,97,93,93,,,,,100,100,98,98,98,93,,,,,,100,98,98,98,88,,,,,,,,,88,88
2022042124,92,100,,100,97,99,99,99,96,96,,92,92,100,99,99,99,99,96,96,,,100,100,100,99,99,94,99,96,,,91,97,100,95,95,100,98,67,,,91,91,94,96,96,88,100,98,,,91,91,91,89,89,67,98,87,,,,67,91,89,87,98,67,67,,,,,87,87,96,96,96,67,,,,,,87,96,96,96,83,,,,,,,,,83,83
