dataTime,93_72,93_73,93_71,93_74,93_75,93_78,93_77,93_76,93_79,93_80,94_71,94_72,94_73,94_74,94_75,94_76,94_77,94_78,94_79,94_80,95_71,95_72,95_73,95_74,95_75,95_76,95_77,95_78,95_79,95_80,96_71,96_72,96_73,96_74,96_75,96_76,96_77,96_78,96_79,96_80,97_71,97_72,97_73,97_74,97_75,97_76,97_77,97_78,97_79,97_80,98_71,98_72,98_73,98_74,98_75,98_76,98_77,98_79,98_78,99_75,99_71,99_72,99_73,98_80,99_74,99_77,99_76,99_78,99_79,99_80,100_71,100_72,100_73,100_74,100_75,100_76,100_77,100_78,100_79,100_80,101_71,101_72,101_73,101_74,101_75,101_76,101_77,101_78,101_79,101_80,102_71,102_72,102_73,102_74,102_75,102_76,102_77,102_78,102_79,102_80
2022042115,12.9,14.1,,14.1,12.6,13.4,13.7,13.7,13.7,13.7,,12.9,12.9,14.1,13.7,13.7,13.7,13.7,13.3,13.7,,,14.4,14.4,14.4,13.7,13.7,13.5,13.7,13.3,,,13.4,12.6,14.4,14.5,14.5,14,13.8,13.2,,,13.4,13.4,13.5,14.1,14.1,9.8,14,13.6,,,13.4,13.4,13.3,14,14,13.2,13.8,14,,,,13.2,13.3,14,14,13.8,13.2,13.2,,,,,14,14,14.1,14.1,14.1,13.2,,,,,,14,14.1,14.1,14.1,14,,,,,,,,,14,14
2022042116,12.5,14.4,,14.4,12.8,14,13.2,13.2,13.9,13.9,,12.5,12.5,14.4,13.2,13.2,13.2,13.2,13.7,13.9,,,13.8,13.8,13.8,13.2,13.2,12.9,13.2,13.7,,,13.4,12.8,13.8,14,14,13.9,13.3,13.3,,,13.4,13.4,12.9,14,14,9.8,13.9,13.5,,,13.4,13.4,12.8,13.1,13.1,13.3,13.3,14.1,,,,13.3,12.8,13.1,14.1,13.3,13.3,13.3,,,,,14.1,14.1,13.8,13.8,13.8,13.3,,,,,,14.1,13.8,13.8,13.8,13.5,,,,,,,,,13.5,13.5
2022042117,12.6,14.8,,14.8,13.2,14.4,14.1,14.1,13.8,13.8,,12.6,12.6,14.8,14.1,14.1,14.1,14.1,12.3,13.8,,,14.4,14.4,14.4,14.1,14.1,13,14.1,12.3,,,13.9,13.2,14.4,14.1,14.1,14.2,13.2,13.3,,,13.9,13.9,13,14.3,14.3,10.3,14.2,13.5,,,13.9,13.9,12.8,13.5,13.5,13.3,13.2,13.6,,,,13.3,12.8,13.5,13.6,13.2,13.3,13.3,,,,,13.6,13.6,13.7,13.7,13.7,13.3,,,,,,13.6,13.7,13.7,13.7,13.9,,,,,,,,,13.9,13.9
2022042118,11.8,12.3,,12.3,12.4,11.9,13,13,11.7,11.7,,11.8,11.8,12.3,13,13,13,13,11.2,11.7,,,12.6,12.6,12.6,13,13,12.2,13,11.2,,,13.1,12.4,12.6,12.7,12.7,12.7,11.6,11.7,,,13.1,13.1,12.2,13.4,13.4,9.9,12.7,11.7,,,13.1,13.1,12.6,12.1,12.1,11.7,11.6,11.9,,,,11.7,12.6,12.1,11.9,11.6,11.7,11.7,,,,,11.9,11.9,12.4,12.4,12.4,11.7,,,,,,11.9,12.4,12.4,12.4,12.8,,,,,,,,,12.8,12.8
2022042119,11.5,10.9,,10.9,12.1,10.7,11.9,11.9,10.6,10.6,,11.5,11.5,10.9,11.9,11.9,11.9,11.9,10.7,10.6,,,11.8,11.8,11.8,11.9,11.9,11.4,11.9,10.7,,,12.7,12.1,11.8,11.6,11.6,11.8,10.5,10.6,,,12.7,12.7,11.4,12.5,12.5,11.1,11.8,10.4,,,12.7,12.7,11.8,12.3,12.3,10.6,10.5,10.7,,,,10.6,11.8,12.3,10.7,10.5,10.6,10.6,,,,,10.7,10.7,11.9,11.9,11.9,10.6,,,,,,10.7,11.9,11.9,11.9,12.7,,,,,,,,,12.7,12.7
2022042120,11.8,10.1,,10.1,11.7,10.1,11,11,9.9,9.9,,11.8,11.8,10.1,11,11,11,11,10.9,9.9,,,10.9,10.9,10.9,11,11,10.9,11,10.9,,,12.6,11.7,10.9,10.7,10.7,12.2,9.8,10,,,12.6,12.6,10.9,12,12,9,12.2,9.5,,,12.6,12.6,11.4,11.5,11.5,10,9.8,10.1,,,,10,11.4,11.5,10.1,9.8,10,10,,,,,10.1,10.1,11.7,11.7,11.7,10,,,,,,10.1,11.7,11.7,11.7,12.4,,,,,,,,,12.4,12.4
2022042121,11.5,9.2,,9.2,11.6,9.3,10.8,10.8,8.5,8.5,,11.5,11.5,9.2,10.8,10.8,10.8,10.8,11,8.5,,,11.2,11.2,11.2,10.8,10.8,10.1,10.8,11,,,12.3,11.6,11.2,10.2,10.2,11.6,8.8,9.3,,,12.3,12.3,10.1,11.1,11.1,10.4,11.6,9,,,12.3,12.3,11.8,11.8,11.8,9.3,8.8,10,,,,9.3,11.8,11.8,10,8.8,9.3,9.3,,,,,10,10,10.5,10.5,10.5,9.3,,,,,,10,10.5,10.5,10.5,11.7,,,,,,,,,11.7,11.7
2022042122,11.2,9.1,,9.1,11.1,9.1,10.2,10.2,9.8,9.8,,11.2,11.2,9.1,10.2,10.2,10.2,10.2,10.4,9.8,,,11,11,11,10.2,10.2,10.9,10.2,10.4,,,12,11.1,11,9.3,9.3,11,9,8.7,,,12,12,10.9,10.9,10.9,9.7,11,8.7,,,12,12,11.7,11.1,11.1,8.7,9,9.6,,,,8.7,11.7,11.1,9.6,9,8.7,8.7,,,,,9.6,9.6,10.5,10.5,10.5,8.7,,,,,,9.6,10.5,10.5,10.5,11.4,,,,,,,,,11.4,11.4
2022042123,11.3,8.5,,8.5,11.1,9.3,10.1,10.1,10.2,10.2,,11.3,11.3,8.5,10.1,10.1,10.1,10.1,10.2,10.2,,,9.8,9.8,9.8,10.1,10.1,11.2,10.1,10.2,,,12.1,11.1,9.8,8.9,8.9,11,8.6,8.6,,,12.1,12.1,11.2,10.8,10.8,9.5,11,8.4,,,12.1,12.1,11.5,11,11,8.6,8.6,11.7,,,,8.6,11.5,11,11.7,8.6,8.6,8.6,,,,,11.7,11.7,10.8,10.8,10.8,8.6,,,,,,11.7,10.8,10.8,10.8,11.3,,,,,,,,,11.3,11.3
2022042124,11.3,8.3,,8.3,10.9,9.9,9.7,9.7,9.9,9.9,,11.3,11.3,8.3,9.7,9.7,9.7,9.7,10.1,9.9,,,9,9,9,9.7,9.7,11.1,9.7,10.1,,,12.1,10.9,9,8.3,8.3,10.7,8.2,11.8,,,12.1,12.1,11.1,10.2,10.2,9.4,10.7,7.8,,,12.1,12.1,11.5,11.1,11.1,11.8,8.2,12,,,,11.8,11.5,11.1,12,8.2,11.8,11.8,,,,,12,12,10.3,10.3,10.3,11.8,,,,,,12,10.3,10.3,10.3,11.4,,,,,,,,,11.4,11.4
