dataTime,93_72,93_73,93_71,93_74,93_75,93_78,93_77,93_76,93_79,93_80,94_71,94_72,94_73,94_74,94_75,94_76,94_77,94_78,94_79,94_80,95_71,95_72,95_73,95_74,95_75,95_76,95_77,95_78,95_79,95_80,96_71,96_72,96_73,96_74,96_75,96_76,96_77,96_78,96_79,96_80,97_71,97_72,97_73,97_74,97_75,97_76,97_77,97_78,97_79,97_80,98_71,98_72,98_73,98_74,98_75,98_76,98_77,98_79,98_78,99_75,99_71,99_72,99_73,98_80,99_74,99_77,99_76,99_78,99_79,99_80,100_71,100_72,100_73,100_74,100_75,100_76,100_77,100_78,100_79,100_80,101_71,101_72,101_73,101_74,101_75,101_76,101_77,101_78,101_79,101_80,102_71,102_72,102_73,102_74,102_75,102_76,102_77,102_78,102_79,102_80
2022042115,302,204,,204,321,316,303,303,252,252,,302,302,204,303,303,303,303,72,252,,,334,334,334,303,303,270,303,72,,,324,321,334,34,34,205,12,209,,,324,324,270,48,48,351,205,127,,,324,324,301,13,13,209,12,296,,,,209,301,13,296,12,209,209,,,,,296,296,294,294,294,209,,,,,,296,294,294,294,0,,,,,,,,,0,0
2022042116,294,129,,129,329,356,11,11,248,248,,294,294,129,11,11,11,11,39,248,,,330,330,330,11,11,292,11,39,,,332,329,330,49,49,254,0,211,,,332,332,292,334,334,356,254,145,,,332,332,299,355,355,211,0,359,,,,211,299,355,359,0,211,211,,,,,359,359,291,291,291,211,,,,,,359,291,291,291,0,,,,,,,,,0,0
2022042117,300,331,,331,329,92,312,312,282,282,,300,300,331,312,312,312,312,193,282,,,31,31,31,312,312,291,312,193,,,322,329,31,131,131,248,0,0,,,322,322,291,185,185,357,248,129,,,322,322,282,274,274,0,0,285,,,,0,282,274,285,0,0,0,,,,,285,285,299,299,299,0,,,,,,285,299,299,299,0,,,,,,,,,0,0
2022042118,300,347,,347,308,46,304,304,158,158,,300,300,347,304,304,304,304,26,158,,,328,328,328,304,304,284,304,26,,,292,308,328,330,330,164,0,283,,,292,292,284,265,265,346,164,296,,,292,292,257,329,329,283,0,356,,,,283,257,329,356,0,283,283,,,,,356,356,303,303,303,283,,,,,,356,303,303,303,0,,,,,,,,,0,0
2022042119,312,45,,45,304,112,7,7,118,118,,312,312,45,7,7,7,7,360,118,,,234,234,234,7,7,302,7,360,,,284,304,234,327,327,187,350,262,,,284,284,302,30,30,298,187,272,,,284,284,295,294,294,262,350,7,,,,262,295,294,7,350,262,262,,,,,7,7,308,308,308,262,,,,,,7,308,308,308,257,,,,,,,,,257,257
2022042120,303,355,,355,318,146,286,286,88,88,,303,303,355,286,286,286,286,334,88,,,328,328,328,286,286,337,286,334,,,310,318,328,331,331,191,0,156,,,310,310,337,268,268,346,191,320,,,310,310,303,46,46,156,0,7,,,,156,303,46,7,0,156,156,,,,,7,7,284,284,284,156,,,,,,7,284,284,284,0,,,,,,,,,0,0
2022042121,301,354,,354,273,100,84,84,100,100,,301,301,354,84,84,84,84,209,100,,,0,0,0,84,84,326,84,209,,,268,273,0,352,352,178,0,266,,,268,268,326,248,248,323,178,293,,,268,268,248,320,320,266,0,307,,,,266,248,320,307,0,266,266,,,,,307,307,281,281,281,266,,,,,,307,281,281,281,269,,,,,,,,,269,269
2022042122,295,8,,8,305,144,335,335,93,93,,295,295,8,335,335,335,335,286,93,,,91,91,91,335,335,280,335,286,,,257,305,91,313,313,190,0,111,,,257,257,280,275,275,299,190,278,,,257,257,220,330,330,111,0,242,,,,111,220,330,242,0,111,111,,,,,242,242,284,284,284,111,,,,,,242,284,284,284,290,,,,,,,,,290,290
2022042123,304,44,,44,303,253,299,299,93,93,,304,304,44,299,299,299,299,289,93,,,334,334,334,299,299,276,299,289,,,254,303,334,346,346,209,48,257,,,254,254,276,336,336,303,209,307,,,254,254,247,227,227,257,48,260,,,,257,247,227,260,48,257,257,,,,,260,260,307,307,307,257,,,,,,260,307,307,307,273,,,,,,,,,273,273
2022042124,305,19,,19,264,2,0,0,88,88,,305,305,19,0,0,0,0,33,88,,,305,305,305,0,0,288,0,33,,,255,264,305,325,325,216,0,282,,,255,255,288,296,296,313,216,288,,,255,255,262,321,321,282,0,244,,,,282,262,321,244,0,282,282,,,,,244,244,277,277,277,282,,,,,,244,277,277,277,275,,,,,,,,,275,275
2022042201,301,45,,45,270,293,307,307,143,143,,301,301,45,307,307,307,307,343,143,,,329,329,329,307,307,290,307,343,,,270,270,329,267,267,215,0,261,,,270,270,290,236,236,318,215,287,,,270,270,218,321,321,261,0,253,,,,261,218,321,253,0,261,261,,,,,253,253,288,288,288,261,,,,,,253,288,288,288,269,,,,,,,,,269,269
2022042202,293,9,,9,270,26,0,0,126,126,,293,293,9,0,0,0,0,99,126,,,356,356,356,0,0,292,0,99,,,262,270,356,31,31,228,248,246,,,262,262,292,243,243,317,228,281,,,262,262,240,310,310,246,248,272,,,,246,240,310,272,248,246,246,,,,,272,272,273,273,273,246,,,,,,272,273,273,273,240,,,,,,,,,240,240
2022042203,291,22,,22,291,279,0,0,125,125,,291,291,22,0,0,0,0,226,125,,,19,19,19,0,0,287,0,226,,,274,291,19,236,236,207,159,247,,,274,274,287,248,248,323,207,249,,,274,274,223,249,249,247,159,265,,,,247,223,249,265,159,247,247,,,,,265,265,257,257,257,247,,,,,,265,257,257,257,231,,,,,,,,,231,231
2022042204,292,357,,357,284,250,60,60,149,149,,292,292,357,60,60,60,60,130,149,,,25,25,25,60,60,286,60,130,,,264,284,25,255,255,251,251,275,,,264,264,286,268,268,317,251,281,,,264,264,198,218,218,275,251,228,,,,275,198,218,228,251,275,275,,,,,228,228,232,232,232,275,,,,,,228,232,232,232,255,,,,,,,,,255,255
2022042205,299,18,,18,280,274,313,313,53,53,,299,299,18,313,313,313,313,93,53,,,322,322,322,313,313,291,313,93,,,258,280,322,32,32,246,53,263,,,258,258,291,314,314,318,246,289,,,258,258,261,285,285,263,53,259,,,,263,261,285,259,53,263,263,,,,,259,259,282,282,282,263,,,,,,259,282,282,282,225,,,,,,,,,225,225
2022042206,301,50,,50,289,277,302,302,118,118,,301,301,50,302,302,302,302,103,118,,,319,319,319,302,302,295,302,103,,,263,289,319,20,20,254,126,258,,,263,263,295,278,278,322,254,133,,,263,263,259,300,300,258,126,271,,,,258,259,300,271,126,258,258,,,,,271,271,275,275,275,258,,,,,,271,275,275,275,214,,,,,,,,,214,214
2022042207,292,212,,212,298,248,178,178,106,106,,292,292,212,178,178,178,178,10,106,,,288,288,288,178,178,284,178,10,,,256,298,288,338,338,225,49,259,,,256,256,284,292,292,318,225,152,,,256,256,236,304,304,259,49,262,,,,259,236,304,262,49,259,259,,,,,262,262,252,252,252,259,,,,,,262,252,252,252,183,,,,,,,,,183,183
2022042208,277,252,,252,278,282,136,136,280,280,,277,277,252,136,136,136,136,358,280,,,202,202,202,136,136,274,136,358,,,255,278,202,188,188,234,84,270,,,255,255,274,298,298,319,234,178,,,255,255,243,215,215,270,84,228,,,,270,243,215,228,84,270,270,,,,,228,228,255,255,255,270,,,,,,228,255,255,255,184,,,,,,,,,184,184
2022042209,254,271,,271,268,263,134,134,287,287,,254,254,271,134,134,134,134,315,287,,,192,192,192,134,134,277,134,315,,,189,268,192,164,164,223,198,271,,,189,189,277,239,239,316,223,164,,,189,189,199,187,187,271,198,216,,,,271,199,187,216,198,271,271,,,,,216,216,253,253,253,271,,,,,,216,253,253,253,190,,,,,,,,,190,190
2022042210,142,232,,232,0,213,148,148,340,340,,142,142,232,148,148,148,148,319,340,,,192,192,192,148,148,284,148,319,,,186,0,192,188,188,206,240,283,,,186,186,284,196,196,313,206,172,,,186,186,178,198,198,283,240,186,,,,283,178,198,186,240,283,283,,,,,186,186,240,240,240,283,,,,,,186,240,240,240,191,,,,,,,,,191,191
2022042211,170,255,,255,255,214,227,227,349,349,,170,170,255,227,227,227,227,47,349,,,199,199,199,227,227,277,227,47,,,189,189,199,177,177,208,227,274,,,189,189,277,182,182,317,208,182,,,189,189,178,197,197,274,227,180,,,,274,178,197,180,227,274,274,,,,,180,180,243,243,243,274,,,,,,180,243,243,243,191,,,,,,,,,191,191
