dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022030714,,,,,,,,,93,71
2022030715,,,,,,,,,93,71
2022030716,,,,,,,,,93,71
2022030717,,,,,,,,,93,71
2022030718,,,,,,,,,93,71
2022030719,,,,,,,,,93,71
2022030720,,,,,,,,,93,71
2022030721,,,,,,,,,93,71
2022030722,,,,,,,,,93,71
2022030723,,,,,,,,,93,71
2022030724,,,,,,,,,93,71
2022030801,,,,,,,,,93,71
2022030802,,,,,,,,,93,71
2022030803,,,,,,,,,93,71
2022030804,,,,,,,,,93,71
2022030805,,,,,,,,,93,71
2022030806,,,,,,,,,93,71
2022030807,,,,,,,,,93,71
2022030808,,,,,,,,,93,71
2022030809,,,,,,,,,93,71
