DC10_LMCS_CA,M0_3_TE,VS,TD,WS,RNUM,HM,STN_NM,TM,TS,M0_05_TE,STN_ID,ICSR_QCFLG,PV,SS_QCFLG,DC10_TCA,WD,M0_1_TE,PS,CLFM_ABBR_CD,M0_2_TE,PA,TA,LCS_CH,SS,ICSR,RN,DMST_MTPH_NO,RN_QCFLG
3,27.0,2258,23.6,2.0,1,91,부산,2022-07-05 00:00,27.2,26.8,159,9,29.1,9,5,50,27.6,1005.0,ScCi,27.1,997.1,25.2,,,,,,
0,27.0,2430,23.5,1.3,2,91,부산,2022-07-05 01:00,27.0,26.5,159,9,28.9,9,8,70,27.3,1004.8,,26.9,996.9,25.1,,,,,,
2,26.9,2393,23.4,1.7,3,90,부산,2022-07-05 02:00,27.1,26.4,159,9,28.8,9,8,70,27.1,1004.2,,26.8,996.3,25.2,4.0,,,,,
0,26.8,1931,22.7,1.0,4,86,부산,2022-07-05 03:00,26.9,26.2,159,9,27.6,9,9,70,26.9,1003.7,Ci,26.6,995.8,25.3,,,,,,
0,26.8,3279,22.5,2.1,5,84,부산,2022-07-05 04:00,27.1,26.2,159,9,27.2,9,6,70,26.7,1003.7,Ci,26.5,995.8,25.5,,,,,,
0,26.7,3033,22.3,2.0,6,82,부산,2022-07-05 05:00,27.0,26.1,159,9,26.9,9,5,50,26.6,1003.9,Ci,26.3,996.0,25.7,,,,,,
4,26.6,2888,22.9,1.1,7,86,부산,2022-07-05 06:00,27.4,26.1,159,,27.9,,8,70,26.5,1004.2,ScCi,26.2,996.3,25.5,15.0,0.0,0.03,,,
5,26.6,2487,22.8,0.7,8,83,부산,2022-07-05 07:00,28.6,26.6,159,,27.7,,8,70,26.5,1004.1,AcCi,26.1,996.3,26.0,38.0,0.0,0.37,,,
5,26.5,2576,23.5,2.9,9,82,부산,2022-07-05 08:00,31.0,27.4,159,,28.9,,8,110,26.6,1004.6,AcCi,26.1,996.8,26.9,38.0,0.1,0.8,,,
4,26.4,1564,24.5,1.9,10,85,부산,2022-07-05 09:00,32.7,28.0,159,,30.7,,9,110,26.8,1005.0,ScAc,26.1,997.2,27.3,12.0,0.0,0.82,,,
3,26.4,1992,24.3,1.3,11,78,부산,2022-07-05 10:00,37.8,29.5,159,,30.4,,8,90,27.2,1004.7,ScCi,26.1,996.9,28.6,12.0,0.4,1.88,,,
0,26.3,3346,25.1,1.8,12,79,부산,2022-07-05 11:00,39.6,30.9,159,,31.9,,8,70,27.8,1004.2,Ci,26.2,996.5,29.2,,0.6,1.99,,,
3,26.4,3012,25.4,3.5,13,74,부산,2022-07-05 12:00,45.0,34.0,159,,32.4,,8,140,28.6,1004.3,ScCi,26.4,996.6,30.6,12.0,0.9,3.0,,,
5,26.4,5000,23.7,5.5,14,78,부산,2022-07-05 13:00,36.6,32.5,159,,29.3,,9,110,29.3,1004.8,ScCi,26.7,997.0,28.0,10.0,0.1,1.63,,,
7,26.5,1872,24.6,1.5,15,89,부산,2022-07-05 14:00,31.0,29.9,159,,30.9,,10,90,29.2,1005.0,ScAs,27.0,997.2,26.6,8.0,0.0,0.42,0.2,01,
7,26.5,5000,24.4,1.9,16,90,부산,2022-07-05 15:00,30.5,28.6,159,,30.6,,9,50,28.6,1004.8,ScCi,27.0,997.0,26.2,10.0,0.0,0.31,0.9,01,
5,26.6,5000,23.9,1.7,17,86,부산,2022-07-05 16:00,29.9,28.3,159,,29.7,,8,90,28.2,1004.9,ScCi,27.0,997.1,26.5,12.0,0.0,0.45,,,9
4,26.6,5000,23.6,2.1,18,85,부산,2022-07-05 17:00,29.6,28.0,159,,29.1,,9,110,27.9,1004.9,ScCi,26.9,997.1,26.4,12.0,0.0,0.35,,,9
2,26.6,5000,23.6,1.5,19,86,부산,2022-07-05 18:00,29.6,27.9,159,,29.1,,8,140,27.7,1005.2,ScCi,26.8,997.4,26.2,12.0,0.0,0.43,,,9
6,26.6,5000,23.8,1.9,20,90,부산,2022-07-05 19:00,28.4,27.4,159,,29.5,,7,90,27.5,1006.0,,26.7,998.1,25.6,23.0,0.1,0.31,,,9
4,26.6,5000,23.5,1.5,21,91,부산,2022-07-05 20:00,27.3,26.6,159,,28.9,,6,90,27.2,1006.4,,26.6,998.5,25.1,6.0,0.0,0.04,,,9
2,26.6,5000,23.4,1.2,22,91,부산,2022-07-05 21:00,27.0,26.2,159,9,28.8,9,6,90,26.9,1007.0,ScCi,26.5,999.1,25.0,5.0,,,,,9
2,26.6,5000,23.0,0.0,23,88,부산,2022-07-05 22:00,26.9,26.0,159,9,28.1,9,7,0,26.7,1007.5,,26.3,999.6,25.2,5.0,,,,,9
5,26.5,5000,23.2,0.0,24,89,부산,2022-07-05 23:00,26.5,25.8,159,9,28.4,9,5,0,26.5,1007.9,,26.2,1000.0,25.2,53.0,,,,,9
